stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,15.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,171.6,0,0,0,0,2.06,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,20.91,2.52,0,0,0,0,0.91,0,0,0,0,0,0,0
 24-34,0,0,426.78,0,0,11.09,0,29.02,0.83,3.95,3.68,0,0,0.71,0,0,0.86,0,0.77,2.27,0,1.35,68.25,5.92,1.46,1.27,0,4.86,12.19,0,2.42,0,0,0,0,0
 36-46,0,0,322.36,0,0,7.12,0,58.72,0,3.84,0.56,0,0,0,0,0,0,7.34,0,0,1.8,0.76,48.04,0,1.43,0.72,0,0.61,3.25,0,4.13,0,0,0,0,0
 48-58,0,0,220.95,0,0,5.73,0,52.93,0.98,8.89,1.33,0,0,0,0,0,1.77,4.19,7.28,0.52,6.87,3.47,34.75,0,0,3.34,0,5.05,0.74,0.56,3.6,0,0,0,0,1.38
 60-70,0,0,245.62,0,0,10.06,0,59.13,0,9.86,6.52,0,0,0,0,1.03,0,0,11,0,18.55,2.98,38.44,0,0,5.03,0,2.56,0,0,1.57,0,1.85,0,1.74,0
 72-82,0,0,143.49,0,0,5.59,0,58.72,1.03,37.91,14.34,0,0.98,5.03,0,5.8,0,0,24.22,6.63,24.14,0,51.95,0,1.1,3.25,1.4,0,0.63,0,4.13,0,7.6,1.2,9.32,2.17
 84-94,0,0,322.15,0,0,29.62,0,66.65,0,37.59,23.95,2.32,0,0.61,0,0,0,0,25.85,1.48,14.9,0,20.25,0,0,3,0,9.49,3.7,0,0,0,15.14,0,10.74,0
 96-106,0,0,235.9,0,0,14.92,0,50.26,0,31.24,17.95,0,1.56,5.35,0.72,3.79,8.31,0,22.39,0.76,18.36,0.57,54.77,0,3.47,3.42,1.92,0.91,0.67,0,0.64,3.47,7.46,0,12.52,0
108-118,0,0.49,339.72,2.53,1.07,19.8,0,73.17,0,42.36,49.02,0.8,0,2.8,0,0,2.44,0,17.76,1.99,25.19,2.55,32.29,0,4.53,7.32,0,0,2.2,0,0.42,0.52,0,0,18.23,0
120,0,0,343.35,0,0,10.38,2.57,62.88,0,41.75,51.1,0,0,1.06,0,2.81,15.15,0,46.01,0,64.19,0,20.37,0,17.99,7.45,0,18.36,5.71,0,0,0,0,0,59.47,0
