stage,eye,fin.epithelia,glial,ionocyte,liver,melanocytes,mesenchyme,neural,olfactory,periderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,5.9,0,0,0,0,0
 14-21,2.57,0,0,0,0,0,0,1.92,0,0,1.36,0,0
 24-34,0,0,0,0,0,0,0.77,5.94,0,0,0,0,1.31
 48-58,0,0,0,0,0,0,0,0,5.1,0,0,0.67,0
 60-70,0,0,1.91,0,0,0,0,0,2.96,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,3.46,0,0,0,0
 84-94,0,0,0,0,0,0.58,0,0,0,0,0,0,0
 96-106,0,1.49,0,0.66,0,0,0,0,350.29,2.49,0,0.65,0
108-118,0,0,0,0,3.82,0,1.79,2.09,114.88,0,0,0,0
120,0,0,0,0,0,0,0,0,1.4,0,0,0,0
