stage,epidermis,erythrocytes,eye,glial,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0.84,2.47,0,0,0.89,0,0
 24-34,0,0,0,0,0,0,0,0,6.48,9.45,0,0,0,0
 36-46,7.35,0,0.71,2.36,0,0.88,0,1.99,18.36,51.12,0,0,5.69,0
 48-58,0,0.45,0,0,0,0.67,0,0,4.37,75.43,0,0,1.32,0
 60-70,0,0,15.34,0,0,1.8,0,0,4.08,97.35,0,0,0,0.87
 72-82,0,4.86,2.33,0.87,1.6,5.8,0,0,3.58,2.23,0.63,0,0,0
 84-94,0,0,0,0,0,1.02,0,0,3.66,51.47,2.58,0,0,0
 96-106,0,5.04,5.37,0,0,3.04,0,0,3.18,135.86,0,0,0,0
108-118,0,0,0,0,0,1.56,0.52,0,3.02,87.03,0,0,0,0
120,0,0,0,17.67,0,0,0,0,11.42,91.18,0,0,0,0
