stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.18,99.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,170.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.14,4.24,0,0,25.39,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.07,0,0,0,3.11,0,0,0,0,12.71,0,0,0,0,0,0,0,0,0,0,0,31.16,0,0,0,0,0,0,3.03,0,9.61,0,0,0,0,0,0,0
 14-21,0,0,0,0,45.77,14.21,0,1.71,0,0,0,1.5,0,3.51,0,6.53,0,0,0,0,42.17,0,0,28.46,10.07,3.62,0,0,0.92,0,0,0,7.74,0,4.03,9.3,0,0,45.95,0,0
 24-34,0,0,2.26,0,49.23,3.06,0,4.85,9.52,2.77,0,0,0,36,0,7.68,0,0.68,0,0,244.04,0,0.89,98.89,81.25,9.93,0,3.32,0,0,3.95,0,0,0,3.79,12.24,0,0,322.46,0,0
 36-46,0,0,1.03,0,25.89,4.5,0,17.03,16.89,11.93,0,0,0,30.26,0,13.13,0,0,0,0,316.27,0,1.4,62.84,68.64,17.48,1.21,0.97,0,0,10.7,0,0,0,0,14.98,0,0,338.37,0,0
 48-58,0,0,0,0,10.65,0,0,10.01,23.61,41.76,5.27,0,0,17.71,0,1.21,12.18,0,0,0.6,379.89,0,1.66,35.32,99.58,24.89,0.91,3.91,0,0,3.28,0,0,0,0,9.88,0,0,212.63,0,14.42
 60-70,0,0,0,0,18.68,4.47,0,47.55,22.8,37.1,1.62,0,0,21.19,0,1.88,6.46,0,0,1.64,547.6,0,5.19,25.94,59.12,12.51,0,0,0,0,0,0,0,0,0,12.41,0,3.4,185.22,1.96,25.68
 72-82,0,0,0,0,22.9,0,0,43.28,15.2,38.53,16.07,0,1.02,34.72,0,2.09,2.22,0,6.69,4.72,605.12,0,14.96,26.97,111.16,4.87,0,17.58,0,1.05,3.13,0,0,0,0,12.4,0,4.64,279.97,10.05,8.51
 84-94,0,0,0,0,21.99,0.55,0,57.47,7.76,41.7,19.62,2.92,1.22,14.2,0.73,4.97,2.52,0.78,0,9.68,398.63,6.36,15.67,13.77,102.23,17.7,0,4.18,0,0,3.88,0,0,0,0,0,1.12,5.89,290.75,4.87,17.41
 96-106,0,0,0,0,31.47,9.45,0,32.42,18.31,13.98,22.93,0,0,20.83,1.04,5.5,0.57,1.17,1.54,0.65,342.08,1.42,1.68,23.28,97.62,8.4,0,5.71,0,0,5.03,0,0,1.32,0,2.47,0,6.4,202.85,14.74,0
108-118,0,0,0,0.74,32.57,0,1.06,84.43,28.15,40.84,43.21,3.57,0,14.64,0,12.75,2.44,0.43,0,5.36,301.72,0.43,14.44,7.37,100.92,12.37,0,6.05,0,0,0,0,0,0,0,0,0,3.72,190.4,13.36,0
120,0,0,0,0,77.68,8.12,0,48.44,37.29,39.5,114.67,2.42,0,31.49,0,0,17.5,0,9.5,0,521.66,1.56,23.23,21.94,121.25,48.01,0,6.41,0,2.67,1.45,0,0,0,0,3.5,0,0,304.93,59.18,0
