stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,10.06,225.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,66.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,18.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.69,0,0,0,3.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,29.18,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,389.79,3.36,0,0,44.78,0,0,17.85,0,0,0,0,0
 14-21,0,0,0,0,12.51,2.77,0,0,42.74,0,0,0,0,0,0,7.47,0,0,43.78,0.89,6.15,11.14,1.19,1.42,2.76,86.69,0.81,260.01,0,0,0
 24-34,0,0,0,0.74,6.4,0,1.77,0,65.39,0,0,0,0,0,0,5.87,0,1.68,39.78,0,16.18,0,0,0.78,0,48.49,2.75,101.95,0,0,0
 36-46,0,0,0,0,8.11,0,2.5,0,51.71,0.73,0,0,0,0.99,0,12.51,0,5.19,40.83,2.89,17.88,0,0,0,0,17.15,0,71.12,0,0,0
 48-58,0,0,0,0.42,5.3,0,5.22,0,51.07,0,0,0,0.76,0.48,0,2.09,0,0,57.44,0,17.29,4.89,0,2.2,0,13.66,0,86.69,0,1.09,0
 60-70,0,0,0,0,9.23,0,11.26,0,55.29,2.49,5.49,0,0,0.66,1.41,4.1,0,0,25.74,0,13.99,1.61,0,0,0,2.42,0,34,0,0,0
 72-82,0,0,0,0,1.46,0,21.75,0.71,39.02,2.32,0,0,0,1.92,0,11.07,0.91,0,18.65,0,30.05,2.14,0,0,0,1.87,0,32.12,0.49,0,0
 84-94,0,0,0,0.89,1.29,0,26.37,0,32.94,0.9,0,0,0,1.74,0,4.31,0,0,6,5.27,19.78,6.85,0,0,0,6.82,0,33.6,0,0,0
 96-106,0,0,1.36,0,0,0,57.57,1.33,21.29,0.73,0,0,0,3.96,0,22.85,0,0,12.44,0,24.86,6.86,0,0,0,8.44,0,19.51,0,4.63,0.66
108-118,0,0,0.94,2.13,4.95,0,32.67,0,22.27,0.52,0,0,0,1.79,2.5,23.14,0,0,2.21,0,32.06,4.07,0,0,0,4.07,0,22.75,0,0,0
120,0,0,0,3.17,1.84,0,18.98,0,26.69,0,0,3.24,0,0,0,16.46,0,0,24.2,0,29.65,8.57,0,2.32,0,16.56,0,26.88,0,0,0
