stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,heart,immune,iridophores,lateral.line,mesenchyme,neural,olfactory,periderm,pronephros,spinal.cord,vasculature,xanthophores
 14-21,0.8,0,0,0,0,0,0.9,0,0,0,6.43,0,0,0,0.82,0,0
 24-34,0,0,0.64,0,0,0,3.39,0,0,0,67.35,0,0,0.72,16.83,0,0
 36-46,0,3.91,4.87,0,2.03,0,2.63,0,0,0,39.12,0,0,0,9.49,0,0
 48-58,0,1.12,27.61,0,3.04,0.6,2.29,0,0,3.15,117.55,0,0,0,17.9,0,0.83
 60-70,0,0,19.93,0,2.26,0,12.72,0,0,1.57,72.01,0,0,0,14.69,4.17,0
 72-82,0,1.12,26.82,0,2.45,0,24.14,0,0,8.83,73.71,0,0.57,0,9.52,0.58,0
 84-94,0.84,3.12,7.5,0.57,2.22,0,19.63,0,0,2.4,49.77,0,0,0,14.35,0,0
 96-106,0,1.36,24.43,0,1.19,0,43.63,0,0.83,5.1,31.33,0,0.65,0,0,0.62,0
108-118,0,8.49,32.7,1.33,0.43,0,42.18,0.95,0,2.22,42.42,0,2.15,0.62,3.24,0.54,0
120,0,4.23,22.82,0,7.35,0,47.57,0,0,0,115.72,12.48,0,0,0,0,0
