stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,45.62,514.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.41,0,0,0,0,0,0,0,0,0,0
  5-6,19.08,342.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.14,0,0,0,16.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.17,0,0,0,20.35,0,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.13,0,0,0,10.24,12.71,6.05,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,3.88,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,156.98,0.9,0,2.32,0,0,1.53,17.63,0,0.95,274.11,0,0,0,0,0
 24-34,0,0,3,0,10.12,0,0,1.92,0,0,0,12.88,0,0,0,0,0,0,0,9.86,0,0,4.48,1787.28,10.71,1.38,0,0,2.55,0,10.01,0,1.32,952.18,0,0,4.73,0,1.3
 36-46,0,0,4.02,0,24.93,1.19,0,18.68,0,0,0,10.11,0,0,0,0,0,0,0,6.75,0,0,12.97,4013.77,1.24,10.68,8.17,0,14.53,0.81,9.8,1.2,0,1241.33,0,0,7.88,0,0
 48-58,0,0,2.35,0,6.71,1.62,0,83.31,0,4.01,0,32.53,0.38,0,1.42,14.15,0,0,0.74,6.83,0,0,7.5,3577.67,5.02,4.12,0,0,3.01,0,0.96,0,0,842.66,0,0,6.86,0,11.37
 60-70,0,0,0,0,6,2.33,0,117.49,1.3,0.96,0,51.44,0,0.84,0,0.6,0,0,0,35.14,0,0.89,0,3974.52,0,10.18,0,0,0,0,0,0,0,693.65,0,0,2.55,0.89,0
 72-82,0,0,2.86,0,7.33,1.25,0.9,87.74,0,0.78,0,50.97,0,0,0.54,0,0,0,2.67,14.25,2.53,0,0,2201.58,0,0.97,0,0,1.46,0,15.37,0,0,288.43,1.76,0,0,0,12.67
 84-94,0,0,2.68,0,5.62,1.05,0,111.83,0,0,1.75,39.18,3.16,0,0,0,0,0,0,16.51,0,13.72,0,2012.98,0,0,14.75,0,0.72,0,7.43,0,0,228.88,0,0,7.73,0,0
 96-106,0,0,5,0,13.42,4.07,0,94.33,0,0.8,1.28,17,0.57,0,4.05,2.62,1,16.22,0,21.75,0,0,0,1601.16,0,2.36,0,0,8.17,0,1.94,0,0,96.47,0,2.03,1.32,1.91,0
108-118,0,0,0.58,0,21.53,1.98,0,82.42,0,0,0,25.3,2.38,0,0,0,0,1.79,0,6.71,0,0,0,2383.37,0,1.07,0.51,0,0.61,0,7.74,0,0,69.16,0,0,6.77,0,0.99
120,0,0,0,0,23.64,2.46,0,120.76,0,0,4.21,45.85,0,0,0,6.33,0,0,0,14.45,0,0,0,4614.98,0,42.54,13.55,0,1.89,0,5.74,0,0,118.68,0,0,16.01,0,0
