stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,11.01,0,0,0,0,0,0,0
 14-21,0,4.1,0,0,0,0,0,0,0,0,0.92,1.01,7.08,0,0,0,0.83,1.95,0,0
 24-34,0,1.57,0,0,2.23,0,0.8,0,0,0,3.3,0.67,18.56,0,0,0.7,0,2.47,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.38,0,8.99,0,0,1.8,0,4.56,0,2.22
 48-58,0.39,0,0,0,0,1.55,0,0,0,0,6.36,0.6,3.26,0,0,0,0,0,0,0
 60-70,0,7.28,0,0,0,0,0,1.96,0.77,2.11,5.15,0,1.94,0,0,0,0,0,0,0
 72-82,0,2.33,0,0,0.88,0,0,0,0.7,0,1.08,0.5,1.06,2.66,0,0,0,0,0,0
 84-94,0,0,0.79,0,0,0,0,1.12,0,0,2.94,0,0,0,0,0.75,0,0,0,0
 96-106,0,0,0,0,0,0,4,3.6,0,0,3.33,0,0,0,2.45,0,0,0,0,0
108-118,0,0,0,0.55,1.02,0,2.48,2.19,0,0,1.86,2.54,0,0,0,0,0,0,1.25,0
120,0,3.9,0,0,0,0,5.84,0,0,0,1.56,0,1.15,0,0,0,0,0,0,0
