stage,axial,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,paraxial.mesoderm,spinal.cord
  3-4,13.01,68.93,0,0,0,0,0,0,0,0
  5-6,0,35.18,0,0,0,0,0,8.03,0,0
  7-9,0,0,0,0,0,0,0,0,7.18,0
 10-12,0,0,0,0,0,0,0,0,10.53,0
 14-21,0,0,0,0,0,0,0,1.64,0,3.75
 24-34,0,0,0,0,0,0,0,11.73,0,2.65
 36-46,0,0,0,0,0,0,0,13.76,0,1.16
 48-58,0,0,0,3.78,5.44,0,0,62.14,0,6.14
 60-70,0,0,0,1.22,0.78,0,0,66.91,0,9.76
 72-82,0,0,0.8,5.41,1.02,2.57,0.95,132.45,0,6.83
 84-94,0,0,0,4.11,0,0,0,78.31,0,5.88
 96-106,0,0,2.36,6.38,1.57,0,0,31.78,0,0.86
108-118,0,0,0,0,0.9,0,3.83,62.53,0,6.87
120,0,0,0,32.67,0,3.53,18.92,98.17,0,15.41
