stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,98.97,2001.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.82,0,0,0,0,0,0,0,0,0,0
  5-6,127.15,986.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.41,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.81,4.35,0,3.8,0,0,0,9.64,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,156.63,0,0,0,62.68,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.66,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.91,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,13.86,0,0,2.5,0,0,0,1.26,181.84,0.9,2.61,5.8,0,0,0,0,0
 24-34,0,0,0,1.88,3.94,0,0,0.63,0,0,1.04,28.57,0,0,0,0,0,5.54,4.95,0,0,0,50.03,0.99,0,0,0,0,0,0,661.53,0,0,1.88,0,0,0,0,0
 36-46,0,0,0,1.65,0,0,0,7.7,0,0,0,36.23,0,0,0,0,0,36.76,0.61,0,0,0,38.75,0,0,1.8,0,0,0.66,0,371.17,0,0,10.59,0,0,0,0,0
 48-58,0,0,0,0,0,0.43,0,10.89,0,0,0,107.65,0,0,0,5.25,0,16.14,5.42,0,0,0,36.82,0,0,0,0,0,0.42,0,209.35,0,0,1.85,0,0,0,0,0
 60-70,0,0,0,0,9.84,0,0,15.22,3.32,1.47,6.26,179.65,0,0,0,0,0,22.75,2.06,0,0,0,29.78,0,0,0,0,0,0,0,159.24,0,0,3.2,0,0,0,0,0
 72-82,0,0,6.41,0,0,0,0,54.34,1.27,0,2.12,455.98,0,0,0,0,0,16.12,12.09,0.79,0,1.81,120.52,0,0,0.49,0,0,6.15,0,137.95,0,0,14.96,0,0,0,0.79,0
 84-94,0,0,3.73,16.35,2.62,15.13,0,46.18,0.56,0,1.31,812.09,0,0.92,0,0.62,0.61,0,16.33,0,0,5.53,87.4,0,0,0.58,0,0,1.15,0,392.81,0,0,6.04,0,1.28,11.67,0.87,1.02
 96-106,0,0,7.7,29.92,9.59,7.63,4.78,40.26,0.62,0,5.52,800.01,0,0,4.06,0,0.63,6.14,29.59,0,0,1.58,157.94,0,2.07,2.26,0,1.67,9.89,0,331.04,3.94,0,1.51,0,0,0,0,1.4
108-118,0,0,0,46.08,12.47,0.42,1.55,18.99,0.56,0,12.8,697.28,0,0,0,0,1.39,16.24,23.56,0,0.63,2.13,111.79,0,0,1.68,0,0,4,0,323.84,0,0,3.38,0.52,0,1.41,1.15,2.03
120,0,0,0,20.54,8.38,0,0,0,0,3.99,12.21,272.6,0,0,3.52,0,0,20.22,12.52,9.06,0,1.02,102.16,5.86,2.64,3.91,0,0,1.36,0,167.37,0,0,0,0,0,1.59,0,0
