stage,blastomeres,endoderm,eye,fast_muscle,glial,hatching_gland,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,75.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,149.99,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.21,10.48,0,0,6.42,0,0,0,0,109.67,0,0,34.95,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,51.09,0,0,12.75,0,0,0,0
 14-21,0,0,0,0,2.28,0,0,0,0,0,1.84,0,0,0,2.68,0.81,3.43,8.33
 24-34,0,0,0,0,4.43,0,0,0,0,0,3.31,0,1.31,0,0,0,0.64,8
 36-46,0,0,0,0,9.7,0,0,0,0,0,1.26,0.72,0,0,0,2.03,0,6.71
 48-58,0,0,0.75,0,6.38,0,1.69,0,0,1.03,7.47,0.4,0,0,0,3.35,0,13.06
 60-70,0,0,1.68,0,10.61,0,0,0,0,0,0.59,0,0,0,0,0,0,20.74
 72-82,0,0,0,0,13.37,0,0.79,0,0,0,4.35,0.53,0.69,0,0,0,0,4.33
 84-94,0,0,3.08,1.17,15.97,0,0,0,0,0,0,0.86,0,0,0,0,0,7.36
 96-106,0,0,0,0.69,15.3,0,0,0,0,0,0.72,6.92,2,0,0,1.71,0,2.15
108-118,0,0,0.59,0,16.17,0,0,0,1.44,1.46,1.91,0,0,0,0,0,0,5.76
120,0,0,0,0,0,0,0,9.02,0,1.39,0,2.64,0,0,0,0,0,0
