stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,presomitic_mesoderm,spinal_cord,vasculature
 14-21,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,5.49,0,0,0,2.29,0
 36-46,0,0,0,0,6.88,2.24,0,0,0,1.55,0,7.81,0,0,0,0.73,0
 48-58,0,0,0,2.55,0,0,0,0,0,0,0,2.22,0,1.94,0,4.61,0
 60-70,0,0,0,17.5,0,3.6,0,0,0,3.51,0,20.48,0,0.92,0,0,0
 72-82,0,0,0,7.4,0,1.18,0,0,0,0.5,0,1.52,0,0,0,5.5,0
 84-94,0,0,0,4.06,0,0,0.67,0,0,4.5,0.68,12.99,0,0,0,0,0
 96-106,0,0.74,0.72,0,0,0,0.59,0,0,0.71,0,4.31,0,0,0,0,0
108-118,0,0,0,0.83,0,5.99,0,0,0.5,0,0,0.63,0.84,0.44,0,0,0
120,0,5.04,0,20.76,0,0,0,1.47,0,2.81,0,1.93,0,0,0,0,4.18
