stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,27.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.43,0,0,6.07,0,0,0,0,0,15.16,0,0,0,0,0,0,0,0,31.23,0,0,0,9.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,17.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.42,10.13,0,0,35.75,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.44,1.06,4.06,0,0,0,27.54,0,0,0,0,0,0,4.04,0,0,6.76,54.65,0.95,1.1,5.77,7.29,0,0,4.04,8.71,6.04,19.26,59.33,0,0,0,0
 24-34,0,0.9,1.32,4.87,0,3.56,0,0,0,18.95,0,0,0,0,0.63,0,8.74,0,0,2.27,87.9,0,5.99,3.18,0,2.49,0,0,4.76,0,3.06,60.1,0,1.02,0,0
 36-46,0,0,0,8.72,0,5.95,0,0,0,20.6,0,0,0,0,0,0,4.45,0,1.14,0,70.87,0,8.58,0.7,0,0.75,0,0,8.5,0,0,45.23,0,0,0,0
 48-58,0,0,0,5.74,0,5.06,1.83,0,0,18.43,4.62,0,0,0,0.41,0,0.97,0,0,1.01,69.52,0,3.23,1.77,0,0,0,0,7.59,0,0,19.81,0,0,0,0
 60-70,0,0,0,0,0,3.75,0,0,0,11.01,0,0,0,0,0.77,0,1.53,0,0.98,0,111.49,0,29.05,2.15,0,0,0,0,0.85,0,0,12.46,0,0,0,0
 72-82,0,0,0,2.71,3.1,28.62,0.9,0,1,5.09,0.67,0,0,0,1.85,1.65,4.25,1.06,3.24,0,81.57,0,23.51,4.89,0,0,1.65,0,3.11,0,0,15.83,0,4.14,0.89,0
 84-94,0,0,0,3.47,0,28.83,0,0,0.62,27.8,0,0.99,0.75,0.68,1.64,0,2.45,0,0,0,42.88,0,5.35,3.11,0,0,0,0,5.51,0,0,11.7,2.16,0,2.86,0
 96-106,0,0,0,2.7,0,5.07,0,0,0,11.9,0.78,0,1.37,0,2.6,0,1.06,0,0,0.79,47.51,0,17.41,2.42,0,4.17,0,0,0,0,0,5.27,0,0,3.44,9.66
108-118,0,0,0,0.69,0,7.47,0,0.5,0.71,23.24,0.43,0,0.8,0,1.54,0.69,2.33,0,0,1,82.07,0,7.71,8.88,0,0,0,0,5.83,0,0,4.36,0,0.53,0,0
120,0,0,0,0,0,4.45,0,0,0,21.53,8.85,0,0,0,11.92,0,9.66,0,0,0,209.68,0,90.62,9.62,0,0,0,0,0,0,0,35.14,1.52,0,0,0
