stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,73.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.42,0,0,30.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.43,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,92.14,0,0,47.45,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,13.14,0,0,0,0,1.86,4.16,7.59,0,0,0,0,0
 24-34,0,0,3.75,0,0,6.83,0,0,0,0,0,0,0,0,0,0,1.42,0,0,3.53,0,0,1.94,66.42,0.75,9.72,0,0,0,0,13.19,0,0,0.64,0,2.23
 36-46,0,0,0,0,0,7.34,0,0,0,12.64,0,0,0,0,0,0,0,0,0,3.46,0,0,0,61.79,1.29,0,0,0,0,0,8.3,0,0,0,0,0
 48-58,0,0,7.21,0,0,9.28,0,0,0,34.38,0,0,0,0,0,0,2.06,0,0,3.53,0,0,1.34,75.09,0.8,0,0,0,0,0,8.4,0,0,0,0,0
 60-70,0,0,1.15,0,0,9.33,0,0.69,0,525.58,0,0,0,0,0,0,2.83,0,0,19.53,0,0.91,0,100.23,0,0,0,0,0,0,4.44,0,0,1.02,0,0
 72-82,0,0.5,5.07,8.23,0,133.71,0,0,0.79,3447.36,0,0,0,0,0,0,0.73,0,0,72.2,0,0,2.76,127.05,0.55,3.05,0,2.26,0,0,11.85,0,0,3.96,0,14.33
 84-94,0,0,4.66,0,0,151.11,0,1.77,0,4393.8,0,0,0,2.04,1.15,0,1.31,0,1.19,11.3,2.2,0,1.16,154.61,1.29,0,0,2.05,0,0,0,0,0,0.57,0,0
 96-106,0,1.23,70.96,18.6,0,243.53,0,0,4.87,6395.09,4.26,0,0.96,20.6,0,0,2.02,17.45,0,23.01,0,0,0.56,310.26,6,4.54,0,49.53,0,0,3.2,7.7,9.93,1.6,0,10.96
108-118,0,0,4.43,9.19,0,45.25,6.29,1,0,4793.11,1.96,0,0,0,0,1.61,1.75,0,0,48.15,0,0,1.55,267.89,3.01,3.51,0,0.42,0,0,444.61,0.68,0,0,1.97,0
120,0,0,9.79,0,1.71,359.98,0,3.34,0,14434.3,2.68,0,0,0,1.25,0,0,0,0,9.3,3.22,0,1.82,575.14,0,1.25,0,0,0,0,0,0,0,1.96,0,0
