stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,60.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,115.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.29,3.62,0,0,23.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.73,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.93,0,0,0,27.98,0,3.1,0,10.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.8,0,0,3.49,0,0.87,0,2.35,1.88,0,0,0,0,0,0,0,5.76,0,1.16,38.33,0.95,0,0,0.84,0,0,3.07,0,0,0.99,8.82,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.5,0,0,0.9,1.61,0,0,0,4.7,0.6,0,0,0,3.18,0,0,23.73,0,0,2.09,0,0,0,0,0,0,0.71,4.97,0,0,0.9,0
 36-46,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.97,0,0,2.21,3.6,0,0.7,0,7.23,0,0,0,0,0.41,0,0,2.26,0,0,3.49,0,0,4.28,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.56,0,0,2.36,0,0,0.59,0,0.83,0,0,1.8,138.19,0,0,1.35,10.1,0,0,27.46,0,0,6.19,0,0,2.24,0,0,0,0,1.19,0,0,0,0
 72-82,0,0,0,0,1.33,3.22,0,40.96,207.09,0.53,0.58,11.1,0.56,0,0,2.21,980.8,0,0.68,0,189.29,0,0.51,72.89,0,1.22,0.56,0,0,1.9,0,0,0,0,0,0,0,1.19,0
 84-94,0,0,0,0,5.91,5.63,0,47.52,0,2.3,6.46,1.27,0,0,0.6,0.85,1405.22,0,0,0,1165.86,0,0,50.43,0,0,102.53,0,0,0.92,0,0.64,0,0,1.44,162.28,0,0,0
 96-106,0,0,0,0,2.41,4.59,0,42.3,0.59,0.57,0,13.82,0,0,0,4.19,1291.83,0,0,10.43,53.78,0,2.95,570.5,0,3.11,6.5,0,0,7.35,0,0.6,0.62,0,0,0,0,0,0
108-118,0,0,0.75,0,10.73,5.75,0.53,85.1,9.95,3.27,6.21,20.83,5.01,0,1.12,7.79,2831.89,1.31,1.61,2.65,161.37,1.42,10.56,219.12,0,0,20.63,0,0,5.83,0,0,0,0,0,0,2.26,6.23,3.94
120,0,0,0,0,25.16,3.17,1.89,66.51,0,0,0,25.9,4.02,0,0,22.96,4093.9,10.13,0,0,178.1,0,0,184.66,0,0,0,0,5.9,8.14,0,0,0,0,9.27,0,0,0,0
