stage,epidermis,erythrocytes,eye,glial,heart,immune,mesenchyme,neural,otic,slow.muscle,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,6.84,0,0,0,0
 10-12,0,0,0,0,0,0,0,15.16,0,0,0,0
 14-21,0,1.04,0,0,0,0,0,9.82,15.69,0,5.42,0
 24-34,0,0,1.22,0,0.67,0,0.81,107.64,5.7,0,3.68,0
 36-46,0,1.45,0,0,0,0,0,255.01,0,0,1.71,0
 48-58,0,0,3.93,0,0,0.68,0,68.66,0,0.77,1.99,0
 60-70,2.62,1.01,0,0,0,0,0,25.55,0,0,0,1.06
 72-82,0,13.54,0.6,0,0,14.27,0,6.32,3.3,0,3.1,0
 84-94,0,2.85,0,0,0,4.09,0,7.67,5.49,0,0,2.13
 96-106,0,20.99,0,0,0,39.44,1.81,5.97,0,0,0,0.74
108-118,0,3.5,0,0.89,0,71.91,0,11.15,1.13,0,0,0
120,0,2.57,0,0,0,119.02,0,4.94,0,0,0,1.59
