stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.62,213.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,117.94,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,6.41,0,0,13.68,0,0,17.65,0,0,0,0,0,0,0,0,70.06,3.99,0,28.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,20.6,0,0,6.81,0,0,0,0,0,0,0,0,60.99,11.91,0,33.14,0,0,0,4.75,0,0,0,0,0
 14-21,0,0,1.16,1.72,2.05,0,0,0,0,0,0,0,0,0.86,0,2.98,25.71,0,0,1.79,0,0,2.6,0.82,6.85,0,0,0,0
 24-34,0,0,0.81,0,3.06,0,0.72,0,0.86,0,0,0,0,2.73,0,0.72,12.3,0,0,0,0,0,0,0.59,4.74,0,3.22,0,0
 36-46,0,0,0,0,0,0.72,2.05,0,0,0,0,0.72,0,3.07,0,0,26.06,0,0,0,0,0,0,0,2.57,0,0.91,0,0
 48-58,0,0,0,0,2.67,0.79,1.06,0,0,0,0,0,0.45,3.07,0,0.44,14.03,0.56,0,0,0,0,0,0,1.28,0,2.55,0,0
 60-70,0,0,0.68,0,16.76,0,19.46,0,0,0,0,0,0,9.69,0,0,19.65,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,1.38,0,8.44,0,14.03,0,0,0,0,0,0,13.01,1.4,0,11.63,0,0.76,0,0,0.56,0,0,0,0,0,0,0
 84-94,0,0,0,0,5.45,0,8.01,0,0,2.86,0.56,0,0,12.79,0,0,5.1,0.79,1.48,0,0.92,0,0,0,0,0,0.63,0,0
 96-106,0,0,0,0,2.35,0,10.33,0,0,0,0,0,0,18.85,0,3.38,5.08,0,1,0,0,0,0,0,0,0,0.81,0,3.09
108-118,0,0,0.43,0,0,0,3.04,0,0,0,0,0,0,23.21,0,2.41,4.64,0,0,0,0,0,0,0,0,0.54,5.71,3.76,1.09
120,0,0,0,0,0,0,9.2,0,0,0,0,0,0,2.9,0,5.6,0,0,0,0,0,0,0,0,0,0,3.87,0,0
