stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.94,0,0,0,0,0,7.79,0,0,0,0,0,0,0,0,0,0,0,8.28,6.45,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.9,0,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,1.14,0,0
 24-34,0,0,84.01,0,0,1.05,0,173.46,0,0,0,0,0,0,0,0,1.01,0,0,0,1.03,0,0,14.53,0,0,0,2.73,0,0,0.77,0,0,0,0,0
 36-46,0,0,109.04,0,0,0,0,351.37,7.9,2.03,0,0,0,0,0,0,0,0,0,0.61,1.02,0,0,42.33,0,0,0,0,0,0,1.57,0,0,0,0,0
 48-58,0,0,229.91,0,0,7.17,0,512.17,1.24,1.54,0,0,0,0,0,0,0,0,2.07,11.76,5.11,0,0,38.12,0,0,0,0.47,0,5.84,2.85,0,0,0,0,0
 60-70,0,0,436.89,0,0,54.48,0.65,639.29,10.24,6.49,0,0,0,0,0,0,1.16,0,0.95,71.03,3.93,2.44,0,38.32,0,0,0,0,0.57,0,1.25,0,2.5,0,0,2.09
 72-82,0,0,671.26,0.79,0,106.12,0,617.9,49.09,4.16,0.61,0,0,0,1.52,0.73,0,0,4.57,216.45,10.56,11.12,3.56,51.74,1.92,4.45,0,0.61,0,0,7.55,0,0.66,0,0.56,8.08
 84-94,0,0.74,1838.51,0,0,89.14,0,1235.1,7.8,3.58,0.78,0,0.6,0.67,0.65,0,1.91,0,7.39,230.72,20.18,13.15,2.12,19.57,0,1.9,0,3.79,0,0,0,0.56,2.65,1.18,1.55,0
 96-106,0,0,2224.18,22.47,1.47,127.29,0,1188.36,24.98,4.1,0,0,3.1,0,0.6,2.59,0,4.95,4.22,237.02,35.45,8.26,5.14,92.52,0,2.7,0,26.16,0,0,0,0.6,2.5,10.25,0.8,3.61
108-118,0,0,2322.83,0,0.85,105.86,0,1706.03,27.7,5.94,0.52,0,0,1.6,1.4,0,0,0.43,13.21,396.07,21.68,5.19,0.94,75.61,0.77,2.73,3.03,3.38,0.86,0,0,0,1.34,8.1,0,2.44
120,1.19,0,1446.98,0,0,79.15,1.2,973.04,11.06,2.24,8.48,0,0,0,2.37,0,0,0,13.03,415.74,15.79,1.83,0,47.13,0,1.46,5.5,3,0,0,0,0,0,0,5.18,0
