stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,1.32,2.16,25.07,1.17,9.09,0,0,12.53,3.04,2.04,0,0,1.9,0,0,0,10.58,0.83,0,3.21,266.23,3.22,4.89,2.59,8.16,33.97,1.05,0,19.14,107.78,0,1.09,0
 24-34,0,0.62,19.75,1.28,67.09,0,0,9.58,1.93,0,0,8.02,2.29,8.2,0,7.86,16.58,0.68,0,5.12,474.54,6.2,4.98,0,34.16,0,0,0,0.61,101.75,0,0.7,0
 36-46,0,0,6.39,0,171.41,0,3.55,6.12,0,0,0,0,3.65,0,0.7,11.17,10.98,0,0.56,4.69,233.84,4.85,3.66,0,29.23,0,2.02,0,0,44.14,0,0,0
 48-58,0,0,8.27,0,195.21,0,0,5.96,1.66,0,0,5.18,1.09,0,2.34,0.38,16.84,1.67,1.61,6.95,157.91,0.44,4.55,0,17.2,0,0.92,6.24,0,15.12,0,2.5,5.3
 60-70,0,0,21.69,0,100.72,1.4,0,14.17,7.39,0,0,2.76,2.62,0,1.13,1.35,14.04,0,0,0,98.49,0.98,2.13,0,6.31,0,1.87,0,0,9.15,0,1.09,0
 72-82,0.53,0,9.7,3.22,32.76,0,0,9.65,1.96,0,0,8.59,1.16,0,0,0,1.74,0,0.72,0.58,42.23,1.34,3.98,0,2.45,0,0,0,0,7.58,0,0.66,0
 84-94,0,0,8.26,0,23.12,0,0,9.68,2.51,0,0,0,2.29,0,0.67,0,9.07,0.57,0,1.26,32.84,2.63,2.31,0,9.38,0,0,0,0,3.24,0.66,0,0
 96-106,0,0,6.25,0,13.63,0,0,4.5,1.85,0,0.86,1.77,2.04,0,0,0,2.61,0,1.52,0.76,31,4.23,0,0,2.74,0,0,0,0,0,0,0,0
108-118,0.47,0,6.36,0,13.49,0,0,2.47,4.47,0,0,0,2.24,0,0,0,1.57,0,0,1.9,37.67,0,0.49,0,5.78,0,0,0,0,0,0.83,0,0
120,0,0,13.86,0,31.65,0,0,23.16,1.12,0,0,4.36,0,0,0,7,3.35,0,2.22,1.47,88.29,1.26,3.63,0,1.37,0,0,0,0,0,0,4.54,0
