stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,11.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.73,0,0,0,3.95,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,14.56,0,0,0,0.82,0,0,0,0,0,0,2.29,0,0,1.46,17.72,0,0,0,0,0,0,0,7.24,0,0,0
 24-34,0,0,2.52,0,0,1032.57,0,0,1.71,0,0,0,0,0,0,0,4.6,0,0,0,111.62,0,0,0.89,0,0,1.92,0,28.2,0,4.43,0.61
 36-46,0,0,0.66,0,0,2356.74,0,0,2.08,0,0.97,0,1.21,0,0,0,9.78,0,0,0,129.56,0.57,0,0,0,0,2.98,0,30.68,0,0,0
 48-58,0,0,6.61,0.39,0,2114.8,0,0.51,5.32,0,0,0,0.83,0,5.11,8.28,5.54,0,0,5.17,93.06,0,0.39,0,0,0,0.87,0,15.51,0,0.54,12.79
 60-70,0,0,0,0,0,1699.13,1.3,0,2.22,0,0,0,0,0,0,0,4.46,0,0,0,61.84,0,0,0,0,0,1.38,0,12.34,0,0.75,5.24
 72-82,0,0,1.05,4.71,0,1728.2,0,0,6.28,0,0,4.58,0,0,0,0,10.19,0.96,0,0.58,57.18,0,0,0,0,0,1.65,1.5,11.35,0,1.81,0
 84-94,0,1.55,1.09,0,0,1702.55,0,0,2.8,0,0,0,0,0,0,2.53,6.79,0,4.81,1.55,28.18,0,0,0,0,0,1.9,0,2.35,0,0,5.71
 96-106,0,0.83,0,0,21.73,1194.84,0,0,12.16,0,0,0.62,0,0,0,0,18.03,0,0,0,21.01,0,0,0,0,5.22,2.07,0,0,0,0,0
108-118,0,0,2.21,2.35,0,1630.7,0,0,2.2,4.59,0,0,3.33,0,0,0,13.21,0,0,0,43.97,0,0,0.77,0,0,8.9,0,0,1.53,0.45,4.4
120,0,0,4.22,2.48,0,1655.27,0,4.09,0,0,0,0,0,1.07,8.33,0,0,0,0,0,66.66,0,0,0,0,0,0,0,0,0,1.51,0
