stage,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,neural,periderm,spinal.cord,vasculature
  5-6,7.98,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.43,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.02,0
 24-34,0,0.67,0,0,0,0,0,4.54,0,0,0
 36-46,0,0,0,0,0,0,0,3.52,0,2.31,0
 48-58,0,0,0,1.65,0,0,0,11.83,0,0.83,0.53
 60-70,0,0,0,2.26,0,0,0,1.36,0,0,0
 72-82,0,0,0,0,0,0,1.79,0,0.58,0,0
 84-94,0,0,0,0,0,0,0.93,0.62,0,0,0
 96-106,0,0,0,0,0,0.57,0,0,0,0,0
108-118,0,0,0,1.26,1.47,0.74,0,0,0,0,0
120,0,0,1.09,4.62,0,0,0,0,0,0,0
