stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,27.83,428.4,0,0,0,0,0,0,37.12,0,0
  5-6,7.22,284,0,0,0,0,18.15,0,0,0,0
  7-9,0,9.28,0,0,0,0,18.58,3.99,0,0,0
 14-21,0,0,0,0.96,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.69,0,0,0,0.7,0
 36-46,0,0,0,0,0,0,3.01,0,0,0,0
 48-58,0,0,0.54,0,0,0,0.38,0,0.63,0,0
 60-70,0,0,0,0,0,0.91,1.2,0,1.21,0,0
 84-94,0,0,0,0,0,0,3.42,0,0.82,0,0
 96-106,0,0,0,0,0,0.79,0,0,1.46,0,0
108-118,0,0,0,6.4,3.95,1.21,0,0,1.24,0,2.16
120,0,0,0,0,0,8.19,0,0,0,0,0
