stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0
 10-12,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.05,2.28,0,0,0,0.68,0,0,0,0,5.99,0,0,0,1.65,0,0,1.33,2.07,0,0,0
 36-46,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0,1.23,0,0,0,0.61,0,0,0,1.22,0,0,0
 48-58,0,0,2.43,0,7.44,7.42,0.38,0,0,0,0,1.18,0,0,17.19,0,0,0,0.78,0,0.76,0,0,0,4.77,0
 60-70,0,0,0,0,4.54,5.07,0,8.45,1.26,0,0,0,0,0,3.34,2.09,0,0,0,0.63,0,0,0,0,0,0
 72-82,0,0,0,0,0,4.69,0,0,0.69,0,3.14,3.13,0,6.07,11.65,0,6.14,0,3.46,0,0,0,0,0.87,0,0
 84-94,0,0,0,0,9.17,10.8,0,0,0,0,0,1.6,0,15.42,0,0,0,0,0.68,0,2.72,0,1.75,2.05,0,0
 96-106,0,0.81,0,7.04,7.32,9.07,0,3.57,0.73,8.38,0,1.04,0,0.56,18.23,0,0,0,5.21,0,2.08,0,0,9.83,0,7.02
108-118,0,0,1.48,0,2.41,3.51,0.5,0,0.84,0,1.14,4.91,0,8.56,8.47,0,1.26,0,0,0,1.1,0,0.62,7.11,0,0
120,0,0,0,0,4.76,6.37,0,0,0,1.25,0,0,1.45,13.92,5.5,0,0,0,0,1.47,1.6,0,0,8.66,0,0
