stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.32,578.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.38,0,0,0,0,0,0,0,0
  5-6,23.18,179.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.35,0,0,0,15.87,0,0,0,0,0,0,0,0,0
 10-12,0,24.59,0,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.9,0,0,0,49.03,0,9.1,0,0,0,0,0,0,0
 14-21,0,0,0,1.97,1.07,0.86,1.12,0,0,0.98,0,0,0,0,0,0,0,5.43,0,0.92,55.56,1.14,1.87,0,2.67,1.62,0,2.75,0.84,19.53,0,0,0,0
 24-34,0,0,0.9,0,0.66,0,15.63,0,0.99,1.61,0,0,0,0,0,0,0,19.51,0,1.69,129.64,0,0,0,0,9.44,0,0,1.02,36.19,0,2.44,0,1.04
 36-46,0,0,0,0,0,0,11.38,15.62,0.62,0.76,0,0,0,0,0,1.55,0,8.82,1.72,0,122.36,0,0,2.45,0,6.64,0,0,0,26.1,0,2,0,1.64
 48-58,0,0,0,0,0.41,0,35.06,0,0,8.17,0,0,0,0,0.43,0,0.46,26.69,0,1.23,53.44,0,0,0,0,3.58,0,0,0,13.65,0,0.43,0,6.49
 60-70,0,0,1.1,0,8.7,0,4.51,0,0,25.54,9.38,0.66,0,0.87,0,0,0,9.79,1.4,2.03,10.33,0,0,0.85,0,7.65,0,0,0,1.88,0.9,0,0,0
 72-82,0,0,0,0,0.69,0,7.12,1.86,0,4.68,0.63,0,0,3.32,0,0,0,18.81,3.81,0,18.21,0,0,2.71,0,7.7,0,0,0,0.86,0,2.47,0.51,2.08
 84-94,0,0,1.43,0,2.5,0,1.53,0,0,7.9,0.77,0,0,0,0,0,0,19.17,0,2.6,19.6,0,0,0,0,8.17,0,0,0,0,0,0.74,0,0
 96-106,0,0,0,0,3.71,0,10.7,0,0,1.23,0.7,0,0,0,0,0,0,9.62,0,0,6.07,0.85,0,0.73,0,3,0,0,0,0,0,0,2.04,0
108-118,0,0,0,0,0,0,4.75,1.22,1.99,5.42,0.54,0,0.5,0,0,0,0,4.57,0,1.3,10.53,4.4,1.46,0.79,0,4.39,0,0,0,0,0,0.42,0,0
120,0,0,0,0,2.74,0,0,0,2.81,11.4,2.51,0,0,0,0,1.37,0,10.29,0,2.41,16.86,0,0,4.48,0,5.23,0,0,0,0,0,3.6,0,0
