stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,35.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.53,0,0,0,0,0,0,0,0,0
  5-6,0,145.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15,0,225.36,0,0,0,0,0,0,0,0,0
  7-9,11.56,10.61,0,0,0,0,0,33.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.7,11.2,0,0,26.19,0,61.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,119.31,0,0,0,52.41,0,73.65,0,7.65,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,22.77,0,0,1.9,0,0,0,1.17,0,0,0,0,8.26,0,0,0,0,3.89,0,0,2,8.84,0,0,0,0,0,162.22,1.17,2.44,1.01,2.87,2.06,0,0,0,0
 24-34,0,0,0,1.56,6.66,0,0,5.04,0,4.49,0,2.28,1.37,0,0.76,2.42,31.42,0,7.63,1.92,0.78,6.61,7.17,0,2.13,50.38,0,4.27,0,0,0,715.03,0,0,0,8.09,9.2,0,0,3.03,2.2
 36-46,0,0,0,0,17.84,0,0,8.56,14.14,4.15,0,0,0.78,0,0,0,10.7,0,5.13,1.21,0,14.39,16.53,0,0.63,24.78,0.55,0.6,0,0,0,1062.12,0,0,0,0,3.3,0,0,0,0
 48-58,0,0,0,0.98,1.37,0.41,0,20.56,0,7.76,0,2.75,2.45,0,0,2.62,17.22,1.14,4.84,0,0,10.22,4.4,0,2.01,42.3,3.14,0.9,0,0,0,866.46,0,0,0,0,5.56,0,0,0.73,0
 60-70,0,0,0,0,3.19,0,0,18.64,0,2.69,0,8.24,10.79,0,0,6.81,12.22,0,2.45,0.78,0,38.09,2.32,0,0.7,33.72,0,0.6,0.61,0,0,704.37,0,0,0,0,7.54,0,1.77,0,0
 72-82,0,0,0.93,0,13.86,0,0,5.78,0,2.18,0,10.39,8.21,0,0,0.56,7.02,0,5.66,1.08,0,25.53,3.96,1.11,0,34.01,0.53,0.88,0.68,0,0,471.09,0,0,0,0,1.56,1.67,0,0,0
 84-94,0,0,6.09,0,7.22,0,0,17.96,0,8.08,0,1.38,6.48,0,0,19.07,10.72,0,14.05,0.57,0,27.84,9.54,0,0,12.89,1.35,5.13,0,0,0,1017.25,0,0,0,0,0,14.64,0,0,3
 96-106,0,0,0,0,15.9,0,0,19.07,1.54,2.71,0.74,5.12,5.33,1.32,0,12.96,24.44,0.89,12.52,0,0,34.37,12.87,0,0,37.12,0,2.05,0,0,1.36,792.32,0,0,0,0,0,6.66,0,6.09,0
108-118,0,0,0,0,14.02,0,0.45,24.03,0,5.18,0,3.35,13.57,0,0,9.75,21.9,0,14.32,4.09,0,29.81,11.4,0,0,34.22,0,5.01,0,0,0,669.86,0,0,0,0,4.53,14.52,2.33,0,1.8
120,0,0,0,8.82,12.92,1.46,0,25.51,0,5.29,0,5.74,10.69,0,0,26.85,25.51,0,10.47,4.81,0,41.21,23.24,0,0,57.63,6.74,1.32,0,0,0,329.7,0,2.9,0,0,0,6.91,0,0,0
