stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,25.93,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2473.33,0,0,0,99.06,13.72,0,0,0,0,0,0
 10-12,0,5.93,3.34,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,1549.55,4.57,0,0,114.62,0,4.94,0,26.17,0,0,0
 14-21,0.89,0,0,24.59,0,0,36.5,0,0,0,24.27,0,0,0,0,0,10.75,0,0.91,2.33,942.15,0,0,0,0,0,0.82,5.41,1274.42,0,0,0
 24-34,0,0,0,3.21,0.81,0,88.05,0,0.69,0,10.98,0,0,0,0,0,52.56,0,6.07,2.99,4028.79,0,1.86,1.55,0,8.63,0.99,0,969.42,0,0.87,5.07
 36-46,0,0,0,32.61,0,0,57.93,0,0,0,11.33,0,0,0.92,0,0,18.98,1.15,7.1,0.68,5594.5,0,7.3,5.66,0,17.23,0,0,809.37,0,0,0
 48-58,0,0,0,11.56,0,0,160.87,0,0,0,13.51,0,0,1.33,1.35,0,16.25,0,11.35,0.91,2786.29,0,2.03,17.87,0,1.02,0,0,815.85,0,2.21,7.32
 60-70,0,0,0,0,0.6,0,56.54,0,0,0,3.36,0,0,0,0,0,35.47,0,0,0,553.13,0,0.75,0,0,0,0,0,189.06,0,0,0
 72-82,0,0,0,9.55,0.63,0,9.86,0,0,0,5.29,0.51,0,0,7.14,0,41.29,0,2.35,0,124.26,0,3.06,10.02,0,0.93,0,0,28.54,0,0.95,0
 84-94,0,0,1.04,1.38,0,0,26.76,0,0,0,4.56,0,0,0,0,0,84.61,0,5.09,1.51,43.53,0,1.76,0,0,0,0,0,129.38,0,0,0
 96-106,0,0,0,0,10.64,0,17.01,0,0,0,0,1.66,0,0,0.61,0,161.24,0,4.69,0,45.1,0,6.09,1.99,0,9.51,0,0,5.23,1.51,0,0
108-118,0,0,0,8.83,0,0,11.18,0.69,0,2.92,0.6,0,0,0,0,0.73,109.35,0,10.11,0,58.57,0.86,0,0.8,0,0,0,0,0,0,0,1.16
120,0,0,0,6.09,0,5.29,0,0,0,0,0,0,0,10.06,0,0,29.58,0,2.5,1.93,46.56,0,0,0,0,0,0,0,0,0,0,0
