stage,epidermis,eye,glial,mesenchyme,neural,spinal_cord,vasculature
  7-9,0,0,0,0,7.42,0,0
 14-21,0,0,0,0,0,0.82,0
 24-34,0,0,0,0.84,2.96,0,0
 36-46,0,0,0,1.07,4.58,1.98,0
 48-58,0,0.73,0.77,0,1.81,3.67,0
 60-70,0.62,3.19,2.87,1.91,0,0,0
 72-82,0,2.18,2.36,0,0.58,0,0
 84-94,0,13.39,0,0,0,0,0
 96-106,0,7.81,0,0,0,0,0
108-118,0,0.61,0,0,1.39,0,1.24
