stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,8.99,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,5.56,0,0,0,0,0,0,0,0,0,14.82,0,0,0,0,0,0,8.19,0,0,12.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,7.77,0,4.47,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,3.43,0,0,0,0,1.08,0,0,0,0,0,0.81,0,0,12.13,3.46,1.74,2.97,0,0,3.5,0,9.9,4.66,0.83,0,0,2.35,0
 24-34,0,0,0.62,0.81,0,10.59,0,1.29,0,0,0,0,1,2.23,0,3.13,0,3.01,57.27,0,0,0,0,0,0,0.64,4.34,1.73,6.15,0,0,0.95,0
 36-46,0,0,0,0,0,54.04,0,0,0,0.98,0,0,0,0,0.7,3.88,0.56,0.92,8.5,0,0,0,0,0,0,0,0.61,0,3.32,0,0,4.94,0
 48-58,0,0,0,0,0,15.75,0,0,0.7,0,0,0,0,0,0,3.41,0,0.44,9.85,0,0,0,0.47,0,0,0,2.16,0,1.97,0,0,2.15,0
 60-70,0,0,0,4.08,0,50.94,0,0,0,0.93,0,0,0,1.74,0,6.09,0,0,13.39,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 72-82,0,0,0,0,0,10.31,0,0,0,3,0,0,0,1.1,0,4.9,0,0,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0
 84-94,0,0,0,2.41,0.89,17.53,0,0,0,0,0.72,0,0,2.09,0,6.76,0,0.6,8.07,0,1.91,0,0,1,0,0,0,0,0,0.55,0,0,0
 96-106,0,0,0,0,10.02,12.04,0.93,0,0,0,0.86,0,0,6.13,0,6.61,0,1.38,0.92,0,0,0,0,0,0,0,0.6,0,1.64,0,0,0,0
108-118,0,0,0,0,2.91,11.98,0.46,0,0,1.47,0,0,0,1.11,0,11.68,0,0,8.27,0.58,2.83,0,0,0,0,0,0.69,0,0,0,0.57,0,0.62
120,0,0,0,0,4.2,6.8,0,0,0,19.49,0,0,0,6.06,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,1.54,0
