stage,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,neural,olfactory,otic,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,2.16
 24-34,0,0,0,0,0,0,0,0,0,0.78,0,12.79,0,0,5.59
 36-46,0,0,0,4.59,0,0,0,0,0,1.17,0,6.12,1.02,0,3.8
 48-58,0,0.53,0,0,1.64,0,0,0,0,0,0,0.45,0,0.82,0
 60-70,0,0,1.34,0,2.17,0,0,0,0,3.12,0,1.01,0,0,6.81
 72-82,0,0,0,0,9.31,0,0,0,0,1.35,0,0,1.13,1.21,8.8
 84-94,1.25,0,0,0,5.04,0,0.55,2.52,0,4.03,0,10.94,0,0,0
 96-106,0,0,0,0.81,1.24,0.93,0,0,0,2.13,0,2.07,5.97,0,0
108-118,0,0,0,0,0.71,0,0,0,0,0,2.06,2.12,0,0,0.48
120,0,0,0,0,0,0,0,0,1.11,0,0,0,0,8.42,14.62
