stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.19,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,22.95,2.52,0.98,0,0,0,18.66,0,0,0,0,0
 24-34,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,139.1,0,2.55,0,0,0,41.59,0,0,0,0,0
 36-46,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,334.67,1,6.73,0,0,0,62.32,0,0,0,0,0
 48-58,0,0,0,2.42,46.68,0,0,0.42,0,0,4.02,0,0,0.37,587.49,0,1.99,1.22,0,1.42,81.23,0,0,5.85,0,0
 60-70,0,0,5.13,0,195.58,0.94,0,2.91,0,1.03,6.87,0,0,0,748.74,0,2.27,0,0,4.92,111.5,0,0.8,0,0,0
 72-82,0,0,3.7,0,398.63,0,0,17.98,0,0,4.43,0,1.07,1.86,907.94,0,4.03,0,0,3.65,81.86,0,1.26,1.7,4.89,6.61
 84-94,0,0,12.93,0,262.39,4.74,0,17.28,0,0,5.4,0,2.23,0,623.89,0,22.72,1.14,0,3.11,65.12,0,1.9,0,1.73,0
 96-106,0,0,0.9,0,310.93,1.96,0,13.21,0,0,4.03,3.31,0.66,0,689.15,0,4.23,0,0,0,27.6,4.97,0,2.04,7.66,0
108-118,0,0,5.86,0,417.39,0,1.25,18.59,2.97,0,13.7,0,0,0.57,710.05,0,4.62,0,2.53,0,18.92,3.89,0,0,9.89,4.66
120,0,0,2.55,0,168.24,0,0,61.57,4.1,0,25.62,0,0,0,967.14,0,0,0,2.54,1.19,94.9,0,0,0,29.11,0
