stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.29,4.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.08,0,0,0,19.62,0,0,8.34,0,0,0,0,0,0
 14-21,0,0,1.04,2.7,0.97,0,1.79,0,0,0,0.95,1.5,0,0,0,0,0,0,0,3.11,0,0,0,27.33,0,0,0,0,0,2.83,0,6.78,0,0,0,0,0.84
 24-34,0,0,0,2.74,0.8,0,2.19,0,0,0,0,0,0,0,0,0,0,0,1.19,2.25,0,0,0,61.84,0,1.63,0.9,0,0,8.52,0,4.94,0,0,0,0,0
 36-46,0,0,0,0.69,0,0,5.23,0,0,0,6.77,0,0,0.98,0,1.37,0.65,0,0,2.14,0,0,1.35,74.68,0,0.89,0,0,0,5.11,0,11.14,0,0,0,0,4.27
 48-58,0,0,0,3.86,0,0,35.35,0,0,1.46,7.98,1.26,0,0,0.55,0.54,1.14,1.64,0.41,7.92,0.92,0.51,1.56,89.45,0,0.91,0.44,0,0,2.22,0,22.67,0,0,1.2,0,2.09
 60-70,0,0,0,7.15,0,0,45.62,0,0,0,15.92,0,0,0,0,0,0,0.78,0,18.65,0.85,7.81,1.65,112.47,0,1.19,0,0,0.84,1.77,0,13.31,0.84,0.73,1.03,0.64,0.65
 72-82,0,2.01,0,4.39,0,0,88.8,0,0,0,18.51,1.99,0,1.33,0.61,0,1.07,0,0,33.67,0,2.79,3.46,98.78,0,4.49,0.61,0,0,2.14,0,5.67,1.25,0.56,1.96,2.25,0
 84-94,0,0,0,4.92,0,0,30.78,0.75,0,0.94,4.99,8.65,0,3.66,0,0.74,0,0.6,0,27.83,0,2.47,3.7,92.77,0,5.51,5.88,0,0,5.34,0,2.72,6.15,1.6,0.63,1.77,0
 96-106,0,4.94,0,7.43,0,0,49.03,0,0,0,16.75,4.3,0.76,0.65,2.19,0,0,3.13,0,28.21,0,0,0,76.45,0.58,4.27,5.07,0,0,4.86,0,6.29,0,0,2.66,0,0
108-118,0,0,0,3.77,0.59,0.88,31.8,0,0.46,2.82,9.46,8.47,1.49,3.14,0,0.65,2.03,3.38,0,27.92,0,0,0.72,77.48,0,3.72,1.76,0,0,7.42,0,1.8,1.79,1.3,0.5,0.84,0
120,0,0,0,8.53,0,0,16.54,0,0,1.47,19.01,4.64,3.65,2.4,0,0,0,1.28,0,13.66,0,0,1.09,48.78,0,5.76,0,0,0,6.1,0,0,0,7.39,0,0,0
