stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
 10-12,8.94,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0.82,0
 24-34,0,0.62,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0
 36-46,0,0,0,0.6,5.55,0,0,1.02,0,0,0,10.36,0,0,0,0.81,0,0
 48-58,0,0,0,3.41,6.78,0,0,1.4,0,0.43,0,18.62,0,0,0,2.67,0,0
 60-70,0,0,0,4.17,5.25,0,0,1.78,0,0,0.67,15.12,0,0,1.29,4.02,0,0
 72-82,0,0,0,17.11,2.27,0,0,2.69,0,0,0,3.61,0,0,0.88,0,0.72,0
 84-94,0,0,0,2.57,4.17,0,0,0,0,0,4.53,11.93,0,0,1.23,0,0,0
 96-106,0,1.03,0,6.7,3.6,0,0,0,0,2.37,0,29.44,0,0,0,0,0,0
108-118,0,0,0.5,1.95,5.4,0.42,0.78,0,1.1,0,0,4.7,0,0,0.53,0,0,0
120,0,0,0,0,8.55,0,0,0,0,0,1.15,13.33,0,3.72,0,0,2.37,13.04
