stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.01,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.54,0,0,0,0,0,195.25,0,0,0,0,0,0,0,0,0.83,0,0,0,38.62,0,0,0,0,0,0,3.2,0,0.87,453.21,0,0,0,0,0
 24-34,0,0,5.01,2.08,0.67,0,0.82,0,0,0,97.94,11.45,0,0,0,0,0,14.16,0,0.93,0,0,0.79,21.86,0,0,0,0,0,0,0,8.63,0,144.65,0,0,2.61,0,0
 36-46,0,0,2.7,0,1.55,0,0,0,0,0,19.61,56.1,11.83,0,0,5.43,0,15.9,12.97,0,0,0,0,17.35,1.52,0,0,0,0,0,0,10.37,0,14.35,0,0,0,0,0
 48-58,0,0,2.82,0,0,0,3.53,0,0,0,6.92,175.2,3.01,0,0,33.59,0,71.74,2.21,4.57,0,0,0.38,43.97,0,0,0,0,0,0.64,0,12.13,0,41.91,0,0,0,0,0
 60-70,0,2.9,0,3.6,0,0,28.67,0,0,0,21.03,456.02,1.07,0,0,133.88,0,144.8,6.76,5.54,0,33.54,0.77,34.43,0,0,0,0,0,0,0,4.55,0,7.17,0,0.73,0,68.7,0
 72-82,0,94.05,108.45,13.41,2.92,1.16,93.25,1.43,1.57,7.4,23.71,1438.49,2.27,0,0,142.99,0.71,96.64,0,53.83,0,14.52,1.32,238.51,0.72,2.46,1.3,0,1.77,16.99,0,0,0,27.57,0,8.24,6.33,580.95,4.49
 84-94,0,217.87,435.28,7.69,13.04,1.71,99.24,1.03,0.97,0,16.01,2504.09,1.62,22.88,0,284.55,2.49,328.14,1.11,53.72,0,24.52,1.38,141.44,0,0,0,0,0,16.91,0,54.92,0,15.45,0,3.54,6.86,619.25,0
 96-106,0,261.88,791.03,20.8,38.46,1.43,151.65,1.23,1.71,6.77,62.42,3618.24,7.05,6.48,0.74,319.32,1.65,344.65,0,105.29,0,6.6,12.84,578.5,2.55,2.92,4.18,0,4.36,21.84,0,9.46,0.6,17.52,5.63,52.7,5.21,1073.54,11.01
108-118,0,239.83,935.98,13.47,8.27,2.9,77.87,6.02,1.73,2.96,63.06,3729.79,1.99,4.51,0,418.09,0.6,433.13,0,68.28,7.87,35.37,6.37,436.78,2.36,2.5,0,0,0.91,27.09,0,27.7,0.44,9.54,10.56,40.21,16.47,583.14,18.01
120,0,221.47,212.67,11.07,3.78,4.46,17.89,0,0,0,15.58,2202.2,0,0,0,303.08,0,307.16,1.33,77.33,0,10.62,4.59,317.16,5.79,11.86,0,0,4.48,2.18,0,203.49,0,13.91,0,54.31,0,641.14,3.58
