stage,blastomeres,eye,fast.muscle,fin.epithelia,glial,gut,iridophores,liver,melanocytes,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,10.03,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0,1.14
 24-34,0,0,0,0,0,0,6.49,0,0,1.75,8.54,0,0,0.74,0,0,0,0
 36-46,0,2.71,0,0,0,0,24.38,0,0,0,3.5,0,0,0.85,0,2.06,0,2
 48-58,0,2.12,0,0,0.72,0,43.16,0,0,0.54,10.72,0.86,0.64,4.48,0,2.16,0,0
 60-70,0,0,0,0,4.15,0,180.73,0,0,1.22,11.18,0,0,6.65,0,3.39,0,7.81
 72-82,0,5.83,0,0,4.48,0,123.99,3.3,2.16,0.75,21.7,0.49,0,2.62,0,1.4,0,1.16
 84-94,0,1.52,0,0,8.3,0.98,169.87,0,2.06,2.67,3.74,0,0,13.9,0,0,0,0
 96-106,0,0,0,0.57,0.57,0,151.3,0,0,0,13.5,0,0,13.32,0.82,1.91,0,0
108-118,0,0,0,0.49,4.38,0,199.8,0,8.53,5.62,2.57,0,0,7.09,0,0,1.64,0.49
120,0,4.9,3.63,0,4.05,0,143.81,0,0,0,5.05,0,0,5.89,0,0,0,3.6
