stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.46,128.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,121.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.74,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,42.15,0,0,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.45,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.87,10.96,0,0,42.34,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,5.5,6.24,0,9.48,0,0,0,0,0,0,0,0,0,0,0,0,7.56,0,0,6.55,86.29,16.26,0,0.95,3.14,0,7.02,0,7.19,0,0,1.81,40.83,0,0,3.19,0,0
 24-34,0,0,0,4.63,0,0,38.86,0.85,1.98,1.39,0,0,1.02,0,1.75,0,1.09,0,0.61,30.23,0,0,19.02,159.59,4.15,0,0.75,0,0,12.83,0.86,0,0,0,1.34,31.68,0,0,11.19,0,1.53
 36-46,0,0,0,5.04,0,0,28.96,0,0,1.92,0,0,2.26,0,3.21,0,0,2.29,0,14.49,4.4,1.41,3.59,64.48,2.23,1.95,0,0,0,15.47,0,0,0.56,0,0,5.14,0,0,8.04,0,0
 48-58,0,0,0,12.63,0,0,18.8,0.93,1.91,2.94,1.16,4.42,0.56,1.1,0.37,0,0,2.85,0,31.41,0,0,5.27,48.88,5.72,0.37,5.35,0,0.61,1.2,0,0,0.46,0,0,5.78,0,0,4.19,0,0.5
 60-70,0,0,0,5.58,0,0,31.09,0,9.43,23.91,8.15,0,0,0.72,0,0,0,7.18,0,23.97,0.63,0,2.07,36.37,1.17,1.98,0,0,1.44,7.91,0,0,4.96,0,0,3.97,0,0.9,7.82,0.98,0
 72-82,0,0,0,6.24,6.37,0,30.25,0.8,3.36,32.85,7.85,0,0,0.6,0,0,0.72,9.09,0,66.06,0.96,5.8,6.8,47.19,2.94,0,0.74,0,0,4.82,0,0,2.04,0,0,5.71,0,1.7,17.82,0,10.05
 84-94,0,0,0,12.36,0,11.01,52.26,2.85,0.96,68.64,20.81,0,0,1.43,1.69,1.68,1.52,25.49,0,90.12,0.61,0.65,4.6,53.26,3.81,1.67,6.14,0,0,12.49,0,0,0.56,0.6,0,1.39,0,0,10.55,2.35,0
 96-106,0,0,0,3.56,0,0,30.3,2.75,0,48.44,23,0,1.02,1.37,2.25,0.77,0.94,27.58,0,58.77,0,0.8,8.81,42.46,1.43,1.71,5.46,0,3.6,9.15,3.82,0,3.47,0,0,9.29,0,1.52,12.95,2.81,0
108-118,0,0,0.74,16.71,0.58,0,45.42,1.14,0.75,79.49,17.98,0,2.23,0.59,0,9.22,0.43,55.16,0,60.59,0,3.32,7.41,99.96,6.98,0,5.21,0,0.76,6.1,0,0,0.72,0,0,1.66,2.31,1.46,8.63,1.48,0.79
120,0,0,0,6.39,0,0,27.14,0,0,55.99,14.66,0,0,7.3,0,0,5.34,21.22,0,43.05,0,0,7.09,64.76,14,12.48,2.44,0,5.08,2.13,0,0,0,0,0,12.38,0,10.12,33.4,3.35,0
