stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,19.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,6.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.07,1.19,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,3.68,2.08,2.68,4.68,0,0,0
 24-34,0,0,0,0,1.77,0,0.72,0,0,0,0,0,1.9,0,0,11.78,0.83,0,0,3.19,0,0,7.47,0,0,0
 36-46,0,0,0,1.98,3.28,1.15,0,0,0,4.81,0,0.6,7.21,0,0.78,17.91,0,0,1.56,13.84,0,0,4.11,0,0,1.77
 48-58,0,0,0,0,1.67,0.38,0.75,0,0,0,0,0,0.78,0,0,18.1,0,0,0,16.26,0,0,4.25,0,0,0
 60-70,0,0,0,0,0,0,1,0,0,0.8,0,0,8.13,0,0,9.35,0,0,0,13.67,0,0,1.05,0,0,0
 72-82,0,0,0,0,4.96,0,1.4,0,0,0,0,0,2.66,0,0,12.06,0,0.53,0,3.99,0,0,0,0,0,0
 84-94,0,0,0,0.82,8.12,0,0,0,0,0.6,1.25,0,1.82,0,0,2.5,0,0,0,9.65,0,0,1.52,1.15,0,0
 96-106,0,0.94,0,0.57,4.76,0,1.04,0,0.87,0,0,0,3.54,1.73,0,9.44,0,0,2.12,9.74,0,0,0,0,0.94,0
108-118,0,0,0,0.71,8.44,0.56,0,0,0,0,0,0,5.36,0,0,3.54,0,2.71,0.75,7.67,0,0,0,0,0,0
120,0,0,0,7.38,4.26,0,0,1.74,0,0,0,3.32,0,0,0,19.91,0,0,0,12.61,0,0,0,0,0,0
