stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.39,0,0,0,0,0,0,1.29,5.83,0,0,0,0,0,0,0,0,0,1.79,0
 36-46,0,0,0,0,30.69,0,0,0,0,0.6,0,1.99,0.84,0,0,0,0,0.58,0,0,0,0,2.89,0
 48-58,0,0,0,5.83,21.94,0,1.61,0,0,11.26,3.69,1.43,12.39,0,0,0,0.56,0,0,2.23,0,0.51,0.47,0
 60-70,0,3.81,0,3.7,7.43,0,9.72,0,0,17.75,17.8,0.68,2.61,0,0,0,1.69,0,8.31,0,0,4.79,3.37,0
 72-82,0,0,0,12.13,3,0,0,0,0,10.25,41.37,3.17,9.38,0,1.03,4.42,4.12,3.57,0,0,0,18.73,3.7,2.3
 84-94,0,1.1,0,1.09,0,0,0,0,0,35.33,21.22,3.88,11.82,0,0,0,7.18,0,0,0,0,3.33,1.52,8.84
 96-106,0,1.95,0,1.65,1.99,0,0,0,0,15.89,25.36,3.62,20.87,0.64,2.8,0,13.82,1.64,0,0.97,0,25.24,0,2.46
108-118,0,0,1.34,7.11,3.38,1,0,3.87,0,25.28,32.78,7.57,16.62,0,4.59,0,49.38,7.32,0.69,0,0.83,7.91,0.97,7.33
120,0,7.46,0,12.54,10.16,0,0,0,3.96,25.88,146.39,0,18.4,0,3.97,0,17.98,0,0,0,0,5.64,3.03,32.03
