stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,somites,spinal_cord,vasculature,xanthophores
  3-4,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.04,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.93,0,0,0
 24-34,0,0,0,0.84,0,1.61,0,0,0,0,0,0,0,1.09,0,0,0,5.73,0,0,0,0,0,0,4.03,0,1.77
 36-46,0,0,0,0,0,7.35,0,0,0,0,0,2.98,0,0,0,0,0,3.52,0,0,0,0,0,0,7.38,0,0
 48-58,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,11.23,0,0,0,0,0,0,0,0,2.8
 60-70,0,0,0,1.05,0,441.95,0,0,4.69,0,0,0,0,0.73,7.05,0,0,3.13,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,14.83,0.56,1218.66,0,3.02,19.89,0.66,0,0,5.32,0,5.88,0,0,24.73,0,0,0,1.85,0,0,0,0,4.49
 84-94,0,0,0,3.12,0,850.36,0.56,0,18.37,0,4.23,6.07,0,0,15.29,0,0,21.99,0,0,1.44,0.92,0,0,6.42,0,0
 96-106,0,0,0.91,3.05,0,1523.76,0,0,42.32,0,0,1.95,9.73,0,2.52,1.13,5.17,41.08,0,0.89,1.99,0,0,0,0,0.83,0
108-118,0,0,0,0.47,8.4,1028,0,2.55,14.15,0,0.85,8.07,0,0.44,15.21,0,0.5,40.58,0,0,6.57,5.32,0,0,1.17,0,9.95
120,0,0,0,6.52,0,731.87,0,0,52.01,0,0,11.36,0,0,15.3,0,3.67,58.27,2.33,0,0,0,0,0,0,0,0
