stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,lateral_line,mesenchyme,mucous,neural,notochord,olfactory,periderm,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,17.74,109.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,84.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.95,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,7.12,0,0,0,0,0,0,12.38,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,6.28,0,0,0,1.94,1.93,0,0,0
 24-34,0,0,0,0,0,0,2.5,0,0.73,0,0,7.88,0,0,0.75,0,1.24,0,6.91,0
 36-46,0,0,0,0,2.37,0,0,0,0,0,0,9.91,0,0,1.34,0,3.13,0,0,0
 48-58,0,0,0,0,4.51,0,1,0,0,1.95,0.41,7.5,0,0,0,0,1.28,0,0,0
 60-70,0,0,0,0,23.11,0,0,0,0,0,0,19.57,0,0,0,0,6.74,0,0,0
 72-82,0,0,0,5.75,29.56,0,1.22,0,0,2.61,0,11.06,0,0,0.49,0,0,0,0,0
 84-94,0,0,1.85,4.35,32.92,0,5.14,0,0,2.94,0,7.63,0,2.17,0,0,3.62,0,0,0
 96-106,0,0,0,0,21.88,0,0,0.95,0,2.99,0,6.98,0,0,0,0,2.94,0,0,0
108-118,0,0,0,0,37.56,0.57,0,0,0,6.85,0,5.55,0.67,0,0,0,0,0,0,1.72
120,0,0,0,0,11.48,0,2.84,4.07,0,0,0,5.74,0,0,0,0,0,1.37,0,0
