stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,34.91,264.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.65,0,0,0,0,0,0,0,0,0,0
  5-6,6.59,238.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.86,0,110.45,0,6.96,0,43.33,0,0,0,0,0,7.42,0,0,0,0,0,0,0,0,0,0,300.99,10.43,0,0,70.41,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,32.47,0,7.74,0,0,0,29.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.61,14.52,0,0,159.19,0,4.24,0,28.87,0,5.61,0,0,0,0,0,0
 14-21,0,0,0,1.33,17.56,8.13,0,11.29,0,0,0,2.94,0.97,1.34,0,0,1.95,0,0,0,1.26,18.54,0,7.6,199.67,5.85,1.03,0.97,1.74,0,4.07,26.53,1.69,15.98,26.95,43.75,0,0,0,0,2.27
 24-34,0,0,1.72,1.34,7.19,0.62,0,39.49,0,0,0.86,2.66,2.24,0.67,0,1.6,4.28,0.83,0,0.77,5.51,27.94,0,14.75,537.68,1.67,9.48,8.78,0,0,16.35,0.93,1.27,1.61,12.53,97.66,0,0,11.1,0,1.01
 36-46,0,0,0.95,0,9.53,0,0,59.35,0,0.74,1.75,18.32,0,0,0,7.97,1.23,0,0,2.4,1.51,32.11,10.75,7.04,581.32,0,7.43,0.72,0,0,19.17,0,2.65,0,0,108.08,0,0,1.95,0,3.35
 48-58,0,0,0,0,4.99,2.84,0,124.98,0.39,0,1.94,34.49,2.19,0,0,1.21,4.25,1.55,0.73,1.37,0.43,39.38,1.1,22.22,484.14,0,4.79,2.96,0,0,8.43,0,1.33,1.61,0,98.69,0,0,12.46,0,7
 60-70,0,0,0,0,1.98,0,0,222.04,1.34,0,6.15,25.71,2.11,0,0,1.55,2.65,9.66,0.69,7.89,3.62,62.34,2.69,4.36,510.52,0,5.07,3.33,0,1.21,12.22,0,0,5.58,0,79.63,0.84,0.65,0.72,0,7.15
 72-82,0,0,0.69,0,8.03,0.58,0,261.35,1.87,0,0.9,40.2,0,0,0,6.22,0.52,0.82,2.53,2.04,0.5,36.5,7.27,4.52,311.63,0,9.31,1.78,0,0,1.14,0,2.79,0,0,32.37,0,1.37,13.04,0.84,8.77
 84-94,0,0,2.53,1,3.85,2.3,4.13,180.9,3.46,0,2.34,52.85,5.85,0,0,2.64,5.51,5.43,1.61,1.61,0.68,29.31,1.36,0.93,266.88,0,3.82,4.6,0,0.77,25.81,0,4.67,0.59,0,38.6,0,1.92,3.87,0.68,8.26
 96-106,0,0,0,0,9.6,12.79,2.25,124.86,1.61,0,0,76.83,6.8,0,0,2.48,4.1,1.37,2.1,25.99,0,39,2.13,12.71,204.45,0.61,4.66,6.89,0,0,20.81,0,0.82,0,0,12.1,1.13,0,13.66,1.79,9.47
108-118,0,0,0.91,0,8.52,1.42,3.94,135.69,0.44,1.53,1.21,64.47,8.19,0,0.99,0.74,3.59,13.1,7.37,2.73,0,51.17,1.36,5.77,336.84,0.45,5.31,12.78,0,1.05,15.58,0,0.81,1.21,0,9.12,0,0.47,10.48,1.35,1.03
120,1.12,0,2.94,0,4.11,1.41,2.77,132.11,5.5,0,3.29,58.4,1.26,0,0,14.74,0,0,0,2.14,0,53.81,0,4.43,462.76,4.49,16.23,4.02,0,0,8.69,0,0,1.69,0,8.17,1.99,0,6.81,0,0
