stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,27.34,325.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.1,488.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.62,0,0,7.71,0,26.81,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.54,0,0,0,3.71,0,0,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,308.19,0,0,73.17,0,4.29,0,0,0,0,0,0,0,0,0
 10-12,0,11.94,0,51.36,0,0,0,0,0,0,0,0,0,29.42,0,0,0,0,0,0,0,0,0,0,340.93,0,0,3.86,0,0,3.78,0,16.7,0,0,0,0,0,0
 14-21,0,0,0,5.12,29.53,2.89,0,0.82,0,0,0,0,4.63,0,0,0,4.83,0,0.93,0,3.14,0,0,1.71,4.91,5.23,2.92,0,0,14.53,1.27,8.42,1.79,7.16,0.89,0,0,0,0
 24-34,0,0,0,1.03,6.36,0,0,1.35,0,1.52,0.9,0,0,0,0,0,4.55,0.91,0,0,4.4,7.15,0,1.24,11.56,3.48,13.8,0,0,42.57,0,0,3.69,3.35,3.67,0,0,0,0
 36-46,0,0,0,0,12.85,0,0,0,0,5.15,0.65,1.49,1.33,0.76,9.47,0,11.59,2.16,1.07,3.4,0,17.18,0,0,54.95,11.46,10.56,0,0,44.08,0,0,6.6,0,0,0,0,0,0
 48-58,0,0,0,0,20.09,0,0,2.59,1.45,4.95,0,0.66,0,0,0,0,0.78,3.18,0,0,0.43,6.21,0.4,0.62,45.66,1.93,4.31,0,0,32.21,0,0,11.12,0,5.98,0,0,0,0
 60-70,0,0,0.82,0,17.57,0,0,1.83,1.34,6.78,0,0.78,6.01,0,0,0,0.75,3.66,2.89,0,2.1,2.61,0,0,31.3,1.75,1.68,0,0,25.99,0,0,5.11,0,0,2.13,0,0,0
 72-82,0,0,1.8,0,9.3,0,0,11.48,0.59,1.14,0.49,3.53,3.33,1.14,0.51,0.59,1.95,13.83,0,0,1.51,11.08,2.07,0,41.21,2.63,8.42,0,0,26.28,0,0,13.03,0,2.42,3.94,0,0,0
 84-94,0,0,7.85,0,13.78,0,0,0,0,1.59,0,5.57,18.43,3.25,0,0,4.25,6.14,4.73,0,3.75,9.99,0,0,29.77,8.86,10.11,0,0,66.4,0,0,3.84,0,0,2.06,2.16,1,1.22
 96-106,0,0,6.53,0,7.49,4,0,13.57,0,1,1.09,5.03,13.33,0,0,1.25,10.17,17.59,1.97,0,3.2,6.47,0,0,23.23,3.66,13.34,0,0.81,74.09,0,0,3.83,0,1.3,5.25,0,1.59,0
108-118,0,0,1.22,0,35.75,0,8.89,0.96,0,2.58,3,9.24,20.83,0,2.64,0.42,10.34,28.68,4.49,0,2.22,4.57,2.51,0,1.97,3.3,9.65,0,0,36.67,0,0,11.66,0,0,12.33,3.45,0,0
120,0,0,7.32,0,13.09,0,0,0,0,6.44,0,0,26.26,0,0,0,23.51,0,0,0,0,12.93,0,0,13.49,6.24,1.47,0,0,21.2,0,0,4.69,0,0,11.4,0,0,0
