stage,blastomeres,hatching.gland,neural,paraxial.mesoderm,presomitic.mesoderm,spinal.cord
  3-4,35.73,0,0,0,0,0
  5-6,33.35,0,0,0,0,0
  7-9,0,0,14.33,3.76,0,0
 10-12,18.19,6.05,33.45,5.4,0,0
 14-21,0,0,0,0,1.04,2.09
 24-34,0,0,0.81,0,0,0.87
 36-46,0,0,1.59,0,0,0
120,0,0,2.57,0,0,0
