stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,13.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.67,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.91,331.27,0,0,21.99,0,3.1,6.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.15,2.64,0,4.87,0,0,0,3.65,0,7.29,0,0,0,0,0,0,0,1.29,0,0,14.48,56.46,2548.98,1.74,0,1.17,0,3.15,0,5.34,0,10.89,38.23,430.16,0,0,0,0,0
 24-34,0,0,0,8.58,0,0,78.38,0,1.88,0,12.49,0,0,0.95,0,0,0,0,0,0,52.18,0,0,95.21,288.96,544.39,2.44,0,0,0,31.95,0,0,0,6.21,6.19,1920.8,0,0,0,0,0
 36-46,0,0,0.94,11.03,2.9,0,143.68,0.68,9.84,1.9,9.87,0,0,0,2.68,0,0,0,0,0,190.19,0,0,274.09,358.59,283.27,1.09,0,0,0,44.99,0,0,0,0,0.71,1628.97,0,0,22.12,0,0
 48-58,1.15,0,1.67,21.41,0,0,245,1.6,85.19,21.65,27.56,0,0,0.91,1.21,0,0,0,0,0,469.71,0,0,269.96,485.5,161.6,0,0.94,0,0,46.4,0,0,0,1.01,0,1769.41,0,0,0,0,4.99
 60-70,0,0,1.79,37.14,5.9,0,430.94,0,240.87,8.68,25.36,0.62,0,0,5.85,0,0,0,0,0,857.68,0,8,55.19,475.13,185.56,0,28.24,0,4.27,76.96,0,0,3.31,0,0,1045.9,0.81,2.59,0,16.01,25.62
 72-82,0,0,8.39,43.82,0,0,1343.18,27.42,162.99,3.83,100.72,1.31,0,0,2.65,142.07,0,0,0.59,0,2082.48,0,2.72,122.31,797.03,60.02,0,37.64,0,18.77,44.35,0,8.75,0,0,0,1190.68,3.76,29.18,2.46,91.69,4.55
 84-94,33.27,0,5.96,54.47,0.72,0,1361.97,0,383.39,5.94,118.43,5.22,0,0,0,114.89,0,0,0,0,1488.16,1.6,26.58,51.18,628.67,72.35,4.06,48.83,0,11.92,118.15,75.66,0,0,0,0,1117.91,56.57,15.29,0,80.5,0
 96-106,2.68,0,14.56,95.31,15.44,1.07,2140.57,0,628.5,5.72,306.32,6.28,0,1.61,5.36,18,0,0,10.89,0,1875.07,0.67,33.17,91.23,689.88,175.23,2.16,190.39,0,33.81,77.97,2.06,0,6.24,0,0,1655.88,5.64,46.19,24.43,99.43,1.22
108-118,1.68,0,13.36,146.96,13.98,0.62,2579.14,0,924.55,24.88,205.69,4,0,0,2.6,195.42,8.42,8.79,3.99,2.19,2259.35,2.31,17.92,54.29,977.78,357.61,1.47,100.51,0,7.13,110.65,0,0,0,0,0,955.26,4.79,11.73,7,173.04,2.08
120,5.05,0,8.68,141.85,21.65,0,2202.74,1.01,955.98,3.19,476.92,4.42,0,0,1.29,321.29,0,16.89,5.66,1.79,3619.17,3.12,29.46,102.87,1569.86,820.84,8.07,136.04,0,0,85.48,0,0,0,0,0,1524.06,7.01,16.6,9.22,399.34,0
