stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,hatching.gland,heart,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste
  3-4,0,64.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,44.64,0,0,0,0,0,0,0,0,0,0,0,48.9,0,0,0,0,0,0,0
  7-9,0,0,4.34,0,0,18.9,0,3.53,0,0,0,0,0,86.04,0,25.29,0,0,0,0,0
 10-12,0,0,0,0,0,9.56,0,0,0,0,0,0,0,43.39,3.17,39.2,5.33,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0.84,0,2.18,0.9,0.84,0
 24-34,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.54,0,1.57,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.96,0,0,0,0,0,1.42,0,0,0.62,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.19,0,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.6,0.66,0.61,0.82,0,0,1.6,0,0,1.26,0,0,0,0,0,0,0,0.83
108-118,0,0,1.47,0.55,1.5,0.84,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,8.97,0,0,0,0,0,0,0,0,0
