stage,blastomeres,epidermis,eye,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,vasculature
  5-6,7.96,0,0,0,0,0,6.87,0,0,0,11.14,0,0
  7-9,0,0,0,0,0,0,12.9,0,0,5,0,0,0
 10-12,0,0,0,0,0,0,24.36,0,0,13.9,0,0,0
 14-21,0,0.88,0,0,0,0,0.92,0,0,0,0,0,0
 24-34,0,6.67,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.76,0,0,0,1.1,0.72,0,0,0,1.34,2.41
 48-58,0,0,0.64,0,0,0.38,4.47,0.5,0,0,0,0.61,0
 60-70,0,0,0,0,0,0,1.36,0,0.63,0,0,1.06,0
 72-82,0,0.49,0,0,0,0,0,2.61,0,0,0,0,0
 84-94,0,3.39,0,4.45,0,0,0,4.21,1.19,0,0,0.7,0
 96-106,0,1.64,0,0,0,0,0,1.26,0,0,0,0,0
108-118,0,1.17,0,0,1.9,0,0,0,0,0,0,0,0
