stage,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,mesenchyme,mural.cell,muscle,neural,presomitic.mesoderm,spinal.cord
 14-21,0,24.67,0.83,0,0,0,9.76,0,0.94,7.22,0.97,0
 24-34,0.79,4.74,0.63,0,0,1.29,13.5,0,3.73,9.12,0,1.3
 36-46,0,0,0,0,0,0,8.65,1.64,1.48,1.49,0,2.12
 48-58,0,2.98,0,0,0,0,3.95,0,0,0.59,0,0
 60-70,0,0,0,0,1.3,0,2.21,0,0,1,0,0
 72-82,0,0,0,1.46,0,0,0.51,0.72,0,1.74,0,0
 84-94,0,0,0,0,0,0,2.16,0,0,0,0,0
 96-106,0,0,0,1.01,0,0,0,0,0,0,0,0
108-118,0,0,0,6.55,0,0,0,0,0,1.01,0,0
120,0,0,0,1.49,0,0,0,0,0,0,0,0
