stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,3.69,0,0,0,0.92,0,2.35,0,0,0,0
 24-34,0,0,0,0.67,0.6,0,0,1.93,0.73,0,0,0,0,0,0,0.78,0,0,5.68,0,0,0,0,0,4.87,0,6.47,0,0
 36-46,0,0,0,0,0,0,0,0.86,0,0.59,0,0,0,0,0,0,0,0,14.53,0,0,0,0,0.84,11.25,0,2.81,0,0
 48-58,0,0,0.79,0,6.05,0,0,7.02,0,0,0,0,0,0.41,1.04,0.38,0,1.48,26.81,0,0,0,0,6.39,18.37,0,0.43,0,1.53
 60-70,0,0,0,0,9.07,0,0,20.53,3.12,0,0,0,0,0,5.54,3.74,0,0,17.35,0,0,0,0,0,5.06,0,5.16,2.72,0
 72-82,0,0,0,0,78.67,0,0,7.49,1.36,0.5,0,0,0,0,25.24,4.81,5.33,0.69,50.28,0,0,0,0,1.24,2.42,2.01,0,0.71,0
 84-94,0,1.21,0,0,33.38,0,0,8.44,1.12,0,0,0.6,0.7,0,70.62,6.94,0,1.46,33.79,0.97,0,3.22,0,2.67,1.09,0,3.4,0,0
 96-106,0.91,2.41,0,1.41,41.2,3.09,0,12.6,0.76,0,0,0,0,1.72,93.74,3.91,0,0,47.13,0,1.45,7.62,0,2.04,0,0,0.93,0,0
108-118,0.45,4.37,0,0,4.84,0,3.75,6.57,2.28,0,1.55,0,0.85,0,149.28,8.27,0,0.48,45.2,0.45,0,0,0,1.04,0,0,0.75,0,0.46
120,0,8.82,0,0,6.91,0,0,31.8,5.16,0,0,0,0,2.53,95.02,0,0,0,34.7,0,0,0,0,1.66,0,0,0,0,0
