stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,somites,spinal.cord
  5-6,0,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.4,5.77,5.31,0,0,0,0,5.26,0,0,0,52.99,5.4,46.01,0,0
 10-12,0,5.27,0,0,0,0,0,0,0,0,0,58.67,0,218.67,0,0
 14-21,0,0,1.25,0,0,0,2.23,0,0,0,0,0.89,0,0,0.86,0
 24-34,0,0,0,0,0,0,0,0,0,1.35,0,3.39,0,0,0.64,1.29
 36-46,0,0,0,0,0,0,0,0,0,0,0,15.44,0,0,0,1.39
 48-58,0,0,0,0,0,3.62,0,0,0,1.02,0,7.96,0,0,0,1.49
 60-70,0,0,0,0,0,10.6,9.08,0,0,0,0,10.53,0,0,0,0
 72-82,0,0,0,0,0,7.23,0,0,0,0,0,9.92,0,0,0,0.92
 84-94,0,0,0,0,0,0,0,0,0.67,0,0,2.33,0,0,0,0
 96-106,0,0,0,1.88,2.87,0.97,0,0,10.56,0,1.31,8.03,0,0,0,0
108-118,0,0,0,0,0,0.8,0,0,6.08,0,0,10.71,0,0,0,0
120,0,0,0,0,0,1.28,7.72,0,52.63,0,0,36.26,0,0,0,0
