stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.66,1878.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.03,775.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.58,15.71,4.59,0,0,8.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.97,0,0,0,39.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.98,3.34,0,0,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.09,0,0,0,49.53,0,0,5.47,0,12.99,0,0,0,0,0,0,0,0
 14-21,0,0,1,18.3,4.52,1.71,0,0,0,2.19,0,2.47,0,0,0,0,0,0,13.85,0,0,7.34,31.67,0.85,0,10.27,11.81,0,0.83,1.84,13.49,6.38,1.17,35.14,12.52,0,0,7.33,0,1.69
 24-34,0,0,0,3.87,0.83,6.31,0,0,0,1.25,0.96,0,0,0.74,1.05,0,0,15.19,8.42,0,0,11.6,46.28,0,0,1.38,0,0,1.44,0,0,18.95,1.19,5.11,7.57,0,0,5.7,0,0
 36-46,0,0,0,5.94,0,1.66,1.1,0,0.63,0,0.58,3.12,0,0,0,0,0,0,10.91,0,0.74,11.06,16.79,0,4.25,0.69,0,0,4,0,0,10.73,0,0,4.96,0,0,0.92,0,0
 48-58,0,0,0,0,0,2.13,0,1.17,0,3.23,0,0,0,0,0,0,0,0,15.86,0,0,5.14,4.66,0,1.07,0,0,0,1.06,0,0,12.39,0,0,1.33,0,0.61,5.62,0,0
 60-70,0,0,0,7.15,0,1.55,0,0,0,12.11,0,0.81,0,0,2.8,0,0,0,35.57,0,0.66,3.7,2.45,0.71,6.99,0,0,1.33,0,0,0,9.11,0,0,0,0,0,14.83,0,0
 72-82,0,0,0,9.48,0,10.99,1.31,1.51,1.29,20.31,0,0,0,0,0,0,2.72,0,113.12,0,9.19,8.38,37.6,0,1.22,1.87,0,7.84,4.33,0,0,0.79,0,0,3.26,6.8,0.76,12,1.62,0
 84-94,0,0,0,21.35,0,7.63,6.71,4.78,0,6.73,0,0,0,0,0,1.11,0,0,130.55,0,17.16,8.13,22.14,0,2.93,0.72,0,8.62,3.03,0,0,4.97,0,0,1.71,11.71,1.96,8.68,1,1.61
 96-106,0,0,0,36.25,0.67,8.05,0.73,5.06,0,22.73,0,0,0,0,0,1.15,29.68,0,191.98,0,28.95,16.21,52.16,0,3.8,0,0,36.61,5.02,0,0,1.74,0,0,6.21,29.29,7.72,22.22,1.09,0
108-118,0,0,0,43.41,2.09,33.83,0,3.82,4.07,49.23,1.96,1.27,0,0,5.11,1.58,0,1.1,201.62,1.71,46.52,26.29,55.93,0,1.48,1.09,0,31.77,0.42,0,0,0.88,0.49,0,9.34,40.59,22.65,14.67,3.93,1.25
120,0,0,0,18.05,0,26.39,0,1.09,0,25.81,0,5.1,3.81,0,0,0,0,0,139.06,0,19.02,8.76,66.87,2.98,0,10.5,0,56.16,0,0,0,0,0,0,0,18.46,2.15,10.44,0,0
