stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.41,5.49,0,0,0,0,0,0,4.77,0,0,0,0,0,98.75,0,0,37.2,0,0,0,0,0
 14-21,0,0,0,1.65,0,0,0,0,0,0,0,0,2.08,1.67,16.7,0,0,0,0,0,27.95,0,1.26
 24-34,0,0,0,0.66,1.66,0,0,0,0,0,0.85,0,0,0,11.85,0,0,0,0,0,8.96,0,0
 36-46,0,0,0,0,1.85,0,0.99,0,0,0,0,0,0,0,28.27,0,0,0,0,0,6.91,0,3.64
 48-58,0,0,0,0,3.04,0,1.24,0,0,0,0,0,0,0,12.03,0,0,0,0,0,9.69,0,0
 60-70,0,0,0,0,4.97,0.89,1,0,0,0,0.69,0,0,0,20.94,0,0,0,0,0,16.51,0,1.12
 72-82,0,0,0,0,15.44,0,0.57,0,0,0,0,0,0.85,0.58,5.59,0,0.96,0,0,0,4.27,0,0
 84-94,0,0,0,0,23.45,0,0.56,0,0,0,0.84,0,0.62,0,15.84,0,3.79,0,0,0.62,0,1.91,0
 96-106,0,0,0,0,57.12,0,0,0,0,0,0,0,0.82,0,2.4,0,1.31,0,0,0,0,0,0
108-118,0,0,0.44,4.91,32.28,0.47,1.51,0.77,0,0,0,2.34,0,0,6.14,0,3.6,0,0,1.61,1,0,0
120,0,0,0,0,137.1,38.61,0,0,0,2.27,1.25,0,0,0,26.51,8.65,0,0,3.22,0,0,0,0
