stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.35,0,0,0,0,0,0,0,0,0
  5-6,8.91,38.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,313.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.82,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,142.41,10.86,46.05,0,3.12,0,0,0,1.01,483.42,0,0,0,0,0,0,0,0,13.45,0,0,21.07,149.95,0,0,0,2.97,0,2.48,2.86,0.84,559.42,22.01,328.72,0,8.26,0,0
 24-34,0,0,0,76.37,2.05,2.04,0,4.13,0,0,0.86,0,64.28,0,0,4.92,0,0,0.63,7.6,0,11.55,0,0,23.1,367.59,1.45,0,0,0,0,5.06,0,0,213.24,8.44,207.62,0,137.96,0,0
 36-46,0,0,0,4.66,8.28,0,0,5.2,0,0,13.12,0,19.4,0,0,2.21,0,0,0,25.45,0,45.56,0,0,7.09,1078.52,0.55,0,0,0,0,0,0,0,82.82,0,268.59,0,79.02,0,9.55
 48-58,0,0,0,0.63,9.79,0,0,87.26,3.35,9.77,11.62,4.31,13.54,0,0.47,0,0.55,12.31,0,43.81,0,230.09,0.65,0,32.12,2040.57,4.4,0,0.84,0,0,13.63,0,0,55.15,0,928.74,0,65.93,0,2.45
 60-70,0.96,0,0,0,9.59,0,1.74,80.46,23.33,0,1.99,8.88,29.46,0,0,0,0.71,0,0,44.3,0,347.75,0,0,60.1,1593.73,0,0,1.84,0.81,0,5.16,0,0,36.16,0,957.01,1.33,69.02,0,15.08
 72-82,0,0,0.85,0.56,12.77,0.95,54.91,79.27,16.44,2.92,4.13,25.28,27.73,0,2.9,0,0,3.97,0,26.1,12.96,453.65,0,4.81,47.09,774.46,0,0,0,0,0,4.93,0,0,26.27,0,284.73,0,111.27,1.72,2.36
 84-94,0,0,3.44,2.14,18.96,0,142.11,108.79,19.29,0,0,17.66,62.48,0,0,1.06,0.73,0,0,88.39,0,276.32,0,0,62.69,672.09,0,4.01,0.57,0,0,0.89,0,0,20.64,0,173.16,1.03,144.2,1.02,7.25
 96-106,0,0,1.19,1.4,18.6,23.39,178.22,37.77,16.06,4.4,1.03,2.24,30.63,0,1.16,4.55,0.59,0,0,95.69,0,182.64,0,0,34.63,501.42,0.66,0,0,1.2,1.04,6.87,0,0.93,31.25,0,52.62,0,169.59,2.69,7.86
108-118,0,0,0,3.05,0.47,3.14,484.02,51.37,17,0,3,6.24,32.55,0,0,0.43,1.06,1.48,0.52,134.55,10.13,249.49,0,0,30.93,783.08,0.43,0,1.84,0,4.16,9.25,0,6.61,31.73,0,48.81,0,175.53,0,0
120,0,0,0,0,7.06,3.68,136.66,58.4,40.22,0,3.29,51.84,53.27,10.41,0,6.3,0,0,0,105.6,0,360.5,0,0,37.48,995.95,0,4.78,0,0,0,2.28,1.12,1.62,15.4,0,30.87,0,340.51,0,0
