stage,axial,blastomeres,epidermis,eye,hatching.gland,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,34.22,76.74,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,48.68,0,0,0,0,0,0,7.33,0,0,0,0
  7-9,5.61,0,0,0,3.29,0,0,0,6.45,8.51,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.71,7.77,0,0,0
 14-21,0,0,0.86,0,0,1.13,0,0,3.74,0,1.06,0,0
 24-34,0,0,0,0,0,0,0,1.49,9.95,0,0,1.45,0
 36-46,0,0,0,0,0,0,1.22,0,6.46,0,0,0,0
 48-58,0,0,1.7,0,0,0,1.11,0,7.13,0,0,1.23,0
 60-70,0,0,0,3.64,0,0,2.73,0,12.07,0,0,0.85,0
 72-82,0,0,0,1.84,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.89,0,0,0,0,4.49,0.66
 96-106,0,0,0,0,0,0,1.23,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.47,0,2.54,0,0,0,0
120,0,0,0,0,0,0,0,0,14.79,0,0,0,0
