stage,blastomeres,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,neural,otic,periderm,pronephros,spinal.cord
  3-4,9.38,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.66,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.14,0,0,0,0,0,0,14.86,0
 24-34,0,1.71,0.69,0,0.68,0,0,0,1.75,0,0,38.2,0
 36-46,0,2.82,0,0,0,0,0,0,18.02,0,0,49.08,0
 48-58,0,0.41,0.58,0,0,0,0,1.55,5.55,0,0,15.44,1.04
 60-70,0,0,0,0,0,0,0,0,0,0,0,21.66,0
 72-82,0,0,0.61,0,0,0,0,0,10.5,0,0,34.53,0
 84-94,0,0.87,8.84,0,0,0,0,0,0,0,0,51.59,0
 96-106,0,2.11,0,0,0,2.04,0.59,7.39,1.72,0,0.62,97.34,0
108-118,0,1.71,0,1.05,0,0,0,2.09,1.46,0.55,0,60.34,0
120,0,0,0,0,0,0,0,0,3.54,0,0,53.47,0
