stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,gut,heart,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,vasculature
  3-4,51.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.33,0,5.47,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.23,0,0,0,0
 14-21,0,2.28,0.87,0,0,0,0,7.12,0,0,2.01,3.68,0,0,1.11,0
 24-34,0,0,0,0.61,0.69,0,0,0.65,0,0,0,3.17,0,0,3.93,0.84
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,6.76,0
 48-58,0,0,0,5.05,0,0,0.5,0.52,0.46,1.17,0,0,0,0,5.08,0
 60-70,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,17.89,0
 72-82,0,0,0,0.56,0,0,0,0,0,0,0,1.74,0,0,1.3,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0
 96-106,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,4.88,0
108-118,0,0.43,6.38,0,0,0.42,0,0,0,0,0,1.26,0,0,4.33,0
120,0,0,1.94,0,0,0,0,0,0,0,0,0,1.57,0,13.21,0
