stage,blastomeres,mesenchyme,neural,paraxial.mesoderm
  5-6,20.3,0,0,0
  7-9,0,0,12.2,3.48
 10-12,0,0,29.19,8.57
 72-82,0,0.73,0,0
 84-94,0,0,8.84,0
