stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,130.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0
  5-6,0,43.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.03,5.69,11.5,0,0,0,0,0,0,0,0,0,0,143.64,0,0,43.78,0,0,0,0,0
 10-12,0,0,7.11,0,0,0,0,0,3.04,0,0,0,0,84.1,0,0,38.47,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33
 36-46,0,0,0,0.79,0,0,1.09,0,0,0,0.82,0,0,1.26,0,0.89,0,0,2.47,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,1.69,0,0,0
 60-70,0,0,0,1.02,0,0,0.7,0,0,0,0,0,1.04,0.96,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.96,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.66,0
 84-94,0,0,0,0,0,1.27,0.95,0,0,1.26,0,0,0,0,0,0,0,20.05,0,2.16,0,1.82
 96-106,0,0,0,0,0,0,0,0,0,0,1.55,0,0,5.18,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.31,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,9.15,0,0
120,0,0,0,0,2.31,0,0,5.71,0,0,12.2,16.05,0,0,0,0,0,0,0,0,0,0
