stage,axial,blastomeres,endoderm,eye,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,43.35,592.13,0,0,0,0,0,0,0,25.15,0,0
  5-6,6.7,470.69,0,0,0,0,22.78,0,0,0,0,0
  7-9,0,0,4.39,8.77,3.56,0,54.93,13.19,41.85,0,3.79,0
 10-12,0,0,0,0,0,0,78.72,0,15.93,0,7.97,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.34
 24-34,0,0,0,0,0,0,2.94,0,0,0,0,0
 48-58,0,0,0,0.48,0,0.48,1.45,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.48,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.42,0,0.71
 96-106,0,0,0,0,0,0,0,0,0,1.33,0,0
108-118,0,0,0,2.28,0,0,0,0,0,0,0,0
