stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,45.83,224.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78,0,0,0,0,0
  5-6,0,90.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,3.64,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.68,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,10.26,0,0,0,20.49,4.33,0,0,0,0,0
 14-21,0,0,1.03,1.74,1.53,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,5.72,7.16,0,0,0.94,0,0,11.58,2.4,1.21,0,0
 24-34,0,0,0,0.73,0,0,0.71,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,6.16,0.65,1.06,0,0,2.04,11.17,4.27,1.45,0,0
 36-46,0,0,0,0,0,0,0.66,0,2.07,2.35,0,0,0,0,0.56,0.62,0,0,0,0,0,9.9,0,2.12,0.72,0,1.09,8.41,2.4,0,0,0
 48-58,0,0,0,0,1.92,0,0,0,0,1.49,0,0,0,0,0,2.55,0,1.1,0,0,0.64,16.43,0,7.1,2.66,0,2.92,11.01,6.15,0,0,0
 60-70,0,0,0,0.6,0.71,2.15,2.61,0,0,5.24,0,0,0,0,0,0.96,0,0,0,0,0,10.45,0,3.99,0.95,0,0,0,6.92,0,0,0
 72-82,0,0,0,1.39,44.34,0,0,0.73,0,8.29,0,0,0.89,0,0,2.42,0,10.32,1.09,0,0,8.31,0,5.42,5.83,0,0,1.08,3.38,0,0.77,0
 84-94,0,0,0,0,15.75,0,3.27,0,0,6.64,0.68,0,0,0,0,2.9,0,0,0,0,0,10.23,0,0.95,13.31,0,0,1.47,4.9,0,0,0
 96-106,0,0,0,0,50.46,0,0.62,0,0,4.54,0,0,0.62,3.12,0.56,9.1,0,12.57,1.24,0,0,7.48,0,8.32,14.95,0,0,1.79,10.7,2.33,1.33,0
108-118,0,0,0,1.38,46.98,0,15.07,0,0,7.47,0.98,0,0,0.6,0.59,7.4,3.13,8.02,0,1.29,0,7.01,0,9.12,19.44,0,0,2.16,0,1.21,0.87,3.79
120,0,0,0,3.11,3.37,0,5.82,0,0,11.72,4.33,0,0,0,0,14,0,6.92,0,0,0,0,0,3.8,41.84,0,0,5.92,0,0,0,0
