stage,axial,blastomeres,endoderm,epidermis,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,0,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,45.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.43,0,0,0,0,0,0,0,59.6,0,31.26,0,0,0
 10-12,0,11.37,0,0,0,0,0,0,0,0,46.25,0,36.68,0,0,0
 14-21,0,0,0,0.82,0,0,0,0,0,0.9,7.31,0,1.98,0,3.23,0
 24-34,0,0,0,0,0,0,0.94,0,3.07,0,2.31,0,0,2.37,0,0.71
 36-46,0,0,0,0,0,0,0,0,0,0.6,2.86,0,0,0,0,0
 48-58,0,0,0,0.52,0,0,0,1.31,0,0,3.58,0.58,0,0,0,0.85
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0
 72-82,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0
108-118,0,0,0,0.59,5.75,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0
