stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.79,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.07,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,178.95,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,10.1,0,0,0,2.42,0,0,0.8,0,0,0,0
 24-34,0,0,0,175.14,0,0,0.59,18.6,0,0,0,0,3.41,0,0,0,0,0.78,0.69,0,1.3,21.08,0,0.77,0,1.61,0,0.6,5.91,0,4.13,0,0
 36-46,0,0,0,166.5,0,0,6.42,24.09,0,0,0,0.89,4.34,0,0,0,2.47,2.41,0,0,0,10.36,1.07,0,0,25.52,0,0,8.5,0,0,0,0
 48-58,0,0,0,143.06,0,0,15.52,42.35,2.19,0,0,0,1.88,0,0,0,1.59,2.24,0,0.49,1.9,41.89,0,0,0,20.6,0,0,3.49,0,0,0,0
 60-70,0,0,0,175.56,0,0,33.85,47.6,2.47,4.12,0,0,52.38,0,0,0,0,1.9,3.07,0,0,21.43,0,0,0,11.93,0,0,1.98,0,3.48,0,0
 72-82,0,8.83,0,109.22,0,0,35.19,23.83,0,17.27,0,0,9.35,0,0,0,0,12.19,0.5,2.8,1.18,29.41,0,0.68,0,3.48,0,0,11.46,0.87,6.32,5.49,0
 84-94,0,5.9,0,207.14,0,0,86.71,61.83,0,36.34,0,0,18.02,0,0,0,0,13.32,1.76,0,0,12.06,0,0,0,22.3,0,0,0.65,0,0,11.16,0
 96-106,0,9.72,0,188.48,0,4.27,80.21,39.66,1.81,27.43,0,0.88,28.1,0,1.64,10.22,7.05,16.06,0,3.07,0,67.05,0,8.63,0.6,8.99,0,0,0,4.17,20.84,17.71,0.8
108-118,0,5.54,0,238.94,9.02,0,126.24,54.42,5.76,31.62,0,0,23.75,0.45,0,1.83,0,14.63,0.43,0,0.75,26.39,0,0,0,12.63,0.47,0,0,5.05,10.62,9.6,5.99
120,0,8.41,0,223.85,0,0,41.24,72.71,0,44.08,0,6.72,39.27,1.48,0,3.02,0,27.35,3.43,15.38,2.74,51.32,0,0,0,26.99,2.12,0,3.82,1.32,27.54,4.88,0
