stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.28,0,0,0,12.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,19.41,0,0,0,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.92,7.29,0,0,56.01,0,0,0,0,7.07,5.96,0,0,0,0,0,0
 14-21,0,1.38,0,10.14,3.68,0,1.19,0,0,0,0,0,1.92,0,0,0,0,0,0,4.76,0,0,2.08,17.22,1.95,0,0,0,0,3.32,0,2.64,0,0.86,5.27,0,0,0,0,0
 24-34,0,0.65,0,8.56,1.22,0,6.78,0,1.45,1.38,0,1.74,0,0,0.83,0,0,0,0,20.13,0,0.81,6.28,71.32,0.75,0,1.29,0,0,9.87,0,0,0.79,1.14,21.16,0,0,3.48,0,0
 36-46,0,0,0,11.08,0,0,8.31,0,0,0.78,4,0.83,0,0,0,0,0.65,0,0.7,29.16,0.56,3.28,1.7,37.81,0,0.6,0,0,0,16.16,0.81,0,0,0,11.66,0,0,6.46,0.78,6.88
 48-58,0,0,0,2.17,0.85,0,14.58,0,0.41,1.26,2.92,0,0,0,0,0.85,1.49,0,2.9,28.4,0.4,0,2.62,49.03,0.61,3.99,0,0,0,2.01,0,0,0,0,4.12,0,0,1.79,0,0
 60-70,0,0.65,0,2.35,0,0,6.49,0,3.24,0,19.78,0,0.75,0,0,0,0.63,0,0,39.57,0,2.35,2.01,39.53,1.37,2.06,3.43,0,0,0.68,0,0,0,0,10.28,0,0,0.85,0,0
 72-82,0,0,0,6.23,0,0,17.48,0,1.99,5.47,9.92,0.64,0.68,0,1.06,0,0,2.77,0,68.27,0,8.23,2.56,41.2,0,0,0,0,0,0,0,0,0,0,5.42,0,0.81,14.52,3.31,3.66
 84-94,0,0.7,0,9.17,1.21,0.6,27.49,1.97,1.62,5.63,10.6,0.92,2.56,0.59,2.96,0.62,0,0,0,46.99,0,7.46,4.18,17.37,0.9,0,6.88,0,3.32,6.38,0,0,2.09,0,4.77,0,1.99,13.79,0,0
 96-106,0,0,0,8.17,10.35,0,3.47,0,1.64,9.3,6.86,0,3.03,0,1,1.99,0,0,0,89.2,0,2.2,4.72,20.54,1.34,0,2.3,0,0,3.99,0,0,0,0,2.02,0,1.03,8.89,4.07,0
108-118,0,0,0,11.24,0,0,23.5,0,7.26,1.8,26.35,1.69,0,3.4,0,6.04,0.7,4.52,0,64.12,0.51,3.79,7.14,21.47,0.69,1.68,0.58,0,0,6.86,0,0,0,0,0.96,0.83,3.38,3.7,4.81,4.87
120,0,0,0,11.34,15.15,0,24.34,0,0,0,4.07,0,0,3.15,0,10.2,0,2.7,0,49.26,0,13.81,1.01,41.75,0,0,0,0,0,12.61,0,0,0,0,1.81,0,2.35,3.19,4.93,0
