stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.36,1.11,3.85,374.24,19.56,74.46,0,9.83,0,4.89,7.68,0,0,0,0.99,0,2.57,0,1.89,110.41,0,0,63.99,705.35,10.9,8.53,34.56,5.81,0,38.45,0.9,48.8,10.73,24.42,83.19,116.93,0,0,8.07,0,0
 24-34,0,2.64,4.41,83.33,10.84,45.37,0,29.97,2,31.42,1.29,0,11.75,0,3.1,0,38.3,0.68,0,142.99,1.24,0,63.34,1105.45,1.23,13.69,56.36,0,0.99,62.6,0,2.33,9.26,2.53,14.95,126.2,0,0,34.19,0,2.65
 36-46,0,2.34,0,23.62,1.34,64.44,18.11,11.73,15.55,136.5,3.33,0,7.54,0,0,2.83,35.15,0,0,302.41,0.65,5.88,56.82,689.73,2.77,5.75,47.8,0,0,83.58,0,0,4.61,2.05,1.09,151.9,0,0,33.66,0,7.81
 48-58,0,0,0.51,18.64,0,122.16,2.9,0.97,22.46,171.72,0.38,0,3.99,0.57,0.38,1.03,30.28,0.48,0.48,344.05,0,11.29,55.41,278.16,3.43,3.78,22.61,0,0.96,49.69,0,0,1.56,2.85,2.82,110.38,0,1.84,13.73,0,15.54
 60-70,0,0.89,0,36.08,0,148.52,5.31,7.4,21.71,116.06,2.81,0,0,22.62,1.27,1.15,11.52,0.72,0,386.09,1.43,20.69,28.87,120.61,2.46,1.64,21.53,0,1.81,34.11,0,0,0,0,0,61.27,1.22,8.81,29.74,3.74,8.38
 72-82,0,3.32,0,16.84,0,98.05,0,0,35.97,90.35,8.6,0,2.13,3.11,0.53,1.44,44.67,0.59,0,320.23,0,8.61,37.22,160.6,3.49,0.88,32.73,0,3.98,14.49,0,0,2.4,0.57,0,22.9,14.74,6.91,28.91,8.39,0.67
 84-94,0,0,0,26.85,0,109.11,1.34,1.21,42.09,81.04,9.88,0,2.51,13.67,2.47,3.33,40.18,3.97,6.65,354.66,0.76,23.82,19.71,107.14,1.8,5.01,33.8,0,4.8,68.86,0,0,3.79,0.78,0,20.67,29.95,12.02,39.2,17.92,0
 96-106,0,2.19,0,46.41,8.04,99.16,2.47,5.76,38.22,101.08,22.12,1.32,6.59,12.52,2.2,0,65.52,2.97,0,304.11,6.03,9.64,37.39,131.99,4.13,9.55,70.57,0,21.64,33.97,0,0,3.02,0.64,0,14.11,48.15,11.41,43.27,23.46,0
108-118,0,3.51,2.02,21.08,0,103.25,3.41,3.15,33.37,85.68,25.16,0,3.96,11.4,1.74,10.62,33.4,12.05,0.58,276.72,0.7,11.48,39.47,135.25,3.76,6.94,40.99,0,11.98,29.25,0,0,7.31,0.56,0,7.18,65.95,16,26.48,14.92,2.69
120,0,8.99,0,50.1,4.34,83.6,2.85,0,11.64,86.41,33.02,0,2.09,23.31,1.41,2.95,27.33,1.43,1.33,197.48,3.31,0,9.58,156.02,5.73,2.85,21.8,0,4.59,7.86,2.5,0,2.27,0,0,30.82,38.52,1.56,22.94,12.86,0
