stage,axial,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,1.38,0,0,0,0.81,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.85,0.57,0.55,0,0,0,0,3.42,0,0,0,12.25,0,0,0,0,0,2.45,0,0,0
 60-70,0,0,10.71,0,0,0,0,0,0,0,3.15,0,0.57,19.65,0,0,0,0,0,4.14,0.57,0,0
 72-82,0,0,10.16,0,0.75,0.63,0,0,0,0,0.77,0,0,22.39,0,0,0,0,0,1.97,0,0,1.55
 84-94,0,0,6.06,0,1,0,2.1,0,0,0,0,0.9,0,6.81,0,0,0.69,0,0,0,0,0,7.46
 96-106,0,0,14.97,8.17,7.86,1.02,0,1.64,0.85,0,0.57,0,1.61,14.4,0,0,0,0,0.58,0,0,1.76,0.64
108-118,0,0,3.87,0.54,0,0.66,0,15.41,0.45,0,0,5.09,0,24.81,0,0,1.87,2.08,0,1.62,0,8.23,4.31
120,0,3.12,14.44,0,6.26,0,0,57.46,0,0,0,0,0,45.31,0,0,0,0,0,6.95,0,62.06,0
