stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0.84,82.68,9,0,6.66,0,0,0,5.77,0,0,0,0,0,0,0,0,24.36,0,17.38,79.39,15.47,0,0,1.93,0,1.15,6.87,0,7.86,18.14,25.07,0,0,0.83,0,0
 24-34,0,0,0.67,36.46,1.96,0,17.84,0.72,3.86,0.61,4.08,0,0,0,0,0,0.91,2.2,0.64,34.2,0,15.48,96.69,55.23,3.09,0.75,0,1.14,0,0,0,0,8.14,25.16,0,0,13.67,0,0
 36-46,0,0,0,21.37,0,0,15.41,2.1,0.58,0.75,19.96,0,0,0,0,0,0,0,6.93,71.92,1.13,15.36,42.78,61.09,1.25,0,0,0,0.56,0,0,0,2.35,15.17,0,0,8.56,0,0
 48-58,0,0,0,18.57,0,0,21.04,3.8,6.41,1.86,29.33,0,1.87,2.7,0,0,0,0,0,103.51,1.57,18.71,44.44,61.41,1.08,0,0,0,2.81,0,0,0,0,4.81,0,0.37,4.17,0,0
 60-70,0.8,0,0,19.79,0,0,10.26,8.59,5.32,10.3,38.53,0,0.7,4.01,0,0.58,0,0,0,162.04,1.63,12.87,41.6,42.4,0.62,0.81,0,2.46,0,0,4.15,0,0,3.8,0,0,7.89,0,1.82
 72-82,0,0,0,12.02,0,0,13.33,3.9,0,6.42,34.41,0,3.02,6.97,0,0,0,8.48,0,224.16,2.4,6.5,28.57,20.97,0.7,3.18,0,0.77,0,0,0,0,0,0.87,0,5.79,15.35,9.45,6.68
 84-94,0,0,0,12.72,0,0,27.38,8.27,4.89,3.26,28.7,0,3.41,3.53,0.61,0.66,0,0,0,224.97,0.92,16.22,11.17,43.31,0,0.88,0,1.31,1.67,0,0,0,0,1.14,0.81,3.11,21.25,0.92,0
 96-106,0,0,0,21.91,3.85,0.56,21.24,4.14,4.51,12.19,23.75,3.19,0,7.56,0,0,0,0,0,281.97,4.93,7.66,42.89,26.93,2.7,13.52,0,4.78,12.91,0,0,0.64,0,0,0,7.31,26.63,10.48,0
108-118,0,0.41,0,19.77,2.19,0,14.72,1.93,7.63,2.02,31.25,0,2.86,0.64,0,6.11,0,0,1.99,214.31,1.7,14.66,47.2,22.98,1.25,8.36,0,9.27,5.96,0,0,1.08,0,0,0,12.54,10.53,8.53,0
120,0,0,0,35.14,0,0,12.15,4.46,7.46,0,22.02,0,13.62,0,0,0,0,0,0,181.56,21.4,4.64,47.94,31.47,0,3.34,0,0,0,0,0,0,0,0,0,5.64,18.85,14.63,0
